line_no,doi,compound,entity,title,year,authors,existing_sources
9,10.1007/s12035-026-05727-w,PRO-LAD,D5 receptor (DRD5),Dopaminergic Modulation of Striatal Somatostatin Interneurons Shapes Motor Learning and L-DOPA-Induced Dyskinesia.,2026,Stahl AM; Paz RM; Tubert C; Gomez G; Belforte JE; Taravini IRE; Rela L; Murer MG,candidate_paper_corpus | mechanistic:paper_library
11,10.1002/prot.70055,Bromo-DragonFLY,5-HT2A,In Silico Characterization of Bromo-DragonFLY Binding to the 5-HT(2A) Receptor: Molecular Insights Into a Potent Designer Psychedelic.,2026,Tariq SS; Qureshi U; Mushtaq M; Munsif S; Nur-E-Alam M; Hawwal MF; Wang Y; Ul-Haq Z,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
13,10.1016/j.biopsych.2025.07.004,PRO-LAD,NMDA receptor,Mu Opioid Receptor Activation Is Required for NMDA Receptor Antagonist Effects on Stress-Induced Maladaptive Behavior.,2026,Langreck CB; Chen BK; Luna VM; Nelson M; Turi G; Hill R; Rubinstenn G; Canals M; Lane JR; Denny CA,candidate_paper_corpus | mechanistic:paper_library
16,10.3390/biomedicines14020476,Salvinorin A,5-HT2A,Opioid Receptors in Psychedelia: Indirect Serotonergic Modulation of Direct KOR Activation by Salvinorin A.,2026,Ganado M; Rubio C; Pérez-Villavicencio J; Serrano N; Romo-Parra H; Lee Á; Rubio-Osornio M,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
17,10.1007/s00259-025-07564-w,PRO-LAD,TAAR1,Preclinical development of [(18)F]TAAR1-2203 as a PET radioligand for imaging TAAR1 expression and receptor occupancy.,2026,Haider A; Xiao Z; Chen J; Pfister SK; Zhou X; Li Y; Chaudhary A; Zhao C; Rong J; Paehler A,candidate_paper_corpus | mechanistic:paper_library
21,10.1021/acschemneuro.5c00932,Lisuride,5-HT2A,Snapshot IP(1) Detection Following 5-HT(2)A Receptor Stimulation in the Mouse Brain.,2026,de la Fuente Revenga M; González-Maeso J,candidate_paper_corpus | mechanistic:paper_library
22,10.1007/s43440-025-00817-3,25I-NBOMe,5-HT2A,The effect of psilocin on neurotransmitters release in the claustrum and on rat behavior.,2026,Kościuk Z; Szpręgiel I; Bysiek A; Gołembiowska K,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
23,10.1007/s40268-026-00543-y,PRO-LAD,5-HT2B,"Updated Viloxazine Pharmacology: Experiments Establish Norepinephrine Transporter Occupancy and Serotonin 5-HT(2C), 5-HT(2B), and 5-HT(7) Receptor Binding at Therapeutically Relevant Concentrations.",2026,Garcia-Olivares J; Yegla B; Koch J; Yu C; Rubin J,candidate_paper_corpus | mechanistic:paper_library
25,10.1038/s41380-025-03128-4,PRO-LAD,5-HT2C,5-HT(2C) receptors in the nucleus accumbens constrain the rewarding effects of MDMA.,2025,Pomrenze MB; Vaillancourt S; Salgado JS; Raymond KB; Llorach P; Sacai H; Rijsketic DR; Hietamies TM; Touponse GC; Cardozo Pinto DF,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
29,10.1177/0271678x251323364,PRO-LAD,5-HT2A,Acute psilocybin and ketanserin effects on cerebral blood flow: 5-HT2AR neuromodulation in healthy humans.,2025,Larsen K; Lindberg U; Ozenne B; McCulloch DE; Armand S; Madsen MK; Johansen A; Stenbæk DS; Knudsen GM; Fisher PM,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
36,10.1177/02698811251330741,Lisuride,5-HT2A,Are the LSD-analogs lisuride and ergotamine examples of non-hallucinogenic serotonin 5-HT2A receptor agonists?,2025,Kehler J; Lindskov MST,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
