seed_id,dataset,family,query,compound,entity,entity_type,template
disorder_00258,disorder,pair_core,LSD Treatment-resistant depression clinical trial,LSD,Treatment-resistant depression,indication,{compound} {entity} clinical trial
disorder_00259,disorder,pair_core,LSD Treatment-resistant depression randomized placebo,LSD,Treatment-resistant depression,indication,{compound} {entity} randomized placebo
disorder_00260,disorder,pair_core,LSD Treatment-resistant depression treatment outcome,LSD,Treatment-resistant depression,indication,{compound} {entity} treatment outcome
disorder_00261,disorder,pair_core,LSD Major depressive disorder clinical trial,LSD,Major depressive disorder,indication,{compound} {entity} clinical trial
disorder_00262,disorder,pair_core,LSD Major depressive disorder randomized placebo,LSD,Major depressive disorder,indication,{compound} {entity} randomized placebo
disorder_00263,disorder,pair_core,LSD Major depressive disorder treatment outcome,LSD,Major depressive disorder,indication,{compound} {entity} treatment outcome
disorder_00264,disorder,pair_core,LSD Bipolar depression clinical trial,LSD,Bipolar depression,indication,{compound} {entity} clinical trial
disorder_00265,disorder,pair_core,LSD Bipolar depression randomized placebo,LSD,Bipolar depression,indication,{compound} {entity} randomized placebo
disorder_00266,disorder,pair_core,LSD Bipolar depression treatment outcome,LSD,Bipolar depression,indication,{compound} {entity} treatment outcome
disorder_00267,disorder,pair_core,LSD Persistent depressive disorder clinical trial,LSD,Persistent depressive disorder,indication,{compound} {entity} clinical trial
disorder_00268,disorder,pair_core,LSD Persistent depressive disorder randomized placebo,LSD,Persistent depressive disorder,indication,{compound} {entity} randomized placebo
disorder_00269,disorder,pair_core,LSD Persistent depressive disorder treatment outcome,LSD,Persistent depressive disorder,indication,{compound} {entity} treatment outcome
disorder_00270,disorder,pair_core,LSD Post-traumatic stress disorder clinical trial,LSD,Post-traumatic stress disorder,indication,{compound} {entity} clinical trial
disorder_00271,disorder,pair_core,LSD Post-traumatic stress disorder randomized placebo,LSD,Post-traumatic stress disorder,indication,{compound} {entity} randomized placebo
disorder_00272,disorder,pair_core,LSD Post-traumatic stress disorder treatment outcome,LSD,Post-traumatic stress disorder,indication,{compound} {entity} treatment outcome
disorder_00273,disorder,pair_core,LSD Complex post-traumatic stress disorder clinical trial,LSD,Complex post-traumatic stress disorder,indication,{compound} {entity} clinical trial
disorder_00274,disorder,pair_core,LSD Complex post-traumatic stress disorder randomized placebo,LSD,Complex post-traumatic stress disorder,indication,{compound} {entity} randomized placebo
disorder_00275,disorder,pair_core,LSD Complex post-traumatic stress disorder treatment outcome,LSD,Complex post-traumatic stress disorder,indication,{compound} {entity} treatment outcome
disorder_00276,disorder,pair_core,LSD Alcohol use disorder clinical trial,LSD,Alcohol use disorder,indication,{compound} {entity} clinical trial
disorder_00277,disorder,pair_core,LSD Alcohol use disorder randomized placebo,LSD,Alcohol use disorder,indication,{compound} {entity} randomized placebo
disorder_00278,disorder,pair_core,LSD Alcohol use disorder treatment outcome,LSD,Alcohol use disorder,indication,{compound} {entity} treatment outcome
disorder_00279,disorder,pair_core,LSD Tobacco use disorder clinical trial,LSD,Tobacco use disorder,indication,{compound} {entity} clinical trial
disorder_00280,disorder,pair_core,LSD Tobacco use disorder randomized placebo,LSD,Tobacco use disorder,indication,{compound} {entity} randomized placebo
disorder_00281,disorder,pair_core,LSD Tobacco use disorder treatment outcome,LSD,Tobacco use disorder,indication,{compound} {entity} treatment outcome
disorder_00282,disorder,pair_core,LSD Nicotine dependence clinical trial,LSD,Nicotine dependence,indication,{compound} {entity} clinical trial
disorder_00283,disorder,pair_core,LSD Nicotine dependence randomized placebo,LSD,Nicotine dependence,indication,{compound} {entity} randomized placebo
disorder_00284,disorder,pair_core,LSD Nicotine dependence treatment outcome,LSD,Nicotine dependence,indication,{compound} {entity} treatment outcome
disorder_00285,disorder,pair_core,LSD Opioid use disorder clinical trial,LSD,Opioid use disorder,indication,{compound} {entity} clinical trial
disorder_00286,disorder,pair_core,LSD Opioid use disorder randomized placebo,LSD,Opioid use disorder,indication,{compound} {entity} randomized placebo
disorder_00287,disorder,pair_core,LSD Opioid use disorder treatment outcome,LSD,Opioid use disorder,indication,{compound} {entity} treatment outcome
disorder_00288,disorder,pair_core,LSD Cannabis use disorder clinical trial,LSD,Cannabis use disorder,indication,{compound} {entity} clinical trial
disorder_00289,disorder,pair_core,LSD Cannabis use disorder randomized placebo,LSD,Cannabis use disorder,indication,{compound} {entity} randomized placebo
disorder_00290,disorder,pair_core,LSD Cannabis use disorder treatment outcome,LSD,Cannabis use disorder,indication,{compound} {entity} treatment outcome
disorder_00291,disorder,pair_core,LSD Cocaine use disorder clinical trial,LSD,Cocaine use disorder,indication,{compound} {entity} clinical trial
disorder_00292,disorder,pair_core,LSD Cocaine use disorder randomized placebo,LSD,Cocaine use disorder,indication,{compound} {entity} randomized placebo
disorder_00293,disorder,pair_core,LSD Cocaine use disorder treatment outcome,LSD,Cocaine use disorder,indication,{compound} {entity} treatment outcome
disorder_00294,disorder,pair_core,LSD Methamphetamine use disorder clinical trial,LSD,Methamphetamine use disorder,indication,{compound} {entity} clinical trial
disorder_00295,disorder,pair_core,LSD Methamphetamine use disorder randomized placebo,LSD,Methamphetamine use disorder,indication,{compound} {entity} randomized placebo
disorder_00296,disorder,pair_core,LSD Methamphetamine use disorder treatment outcome,LSD,Methamphetamine use disorder,indication,{compound} {entity} treatment outcome
disorder_00297,disorder,pair_core,LSD Stimulant use disorder clinical trial,LSD,Stimulant use disorder,indication,{compound} {entity} clinical trial
disorder_00298,disorder,pair_core,LSD Stimulant use disorder randomized placebo,LSD,Stimulant use disorder,indication,{compound} {entity} randomized placebo
disorder_00299,disorder,pair_core,LSD Stimulant use disorder treatment outcome,LSD,Stimulant use disorder,indication,{compound} {entity} treatment outcome
disorder_00300,disorder,pair_core,LSD Substance use disorder clinical trial,LSD,Substance use disorder,indication,{compound} {entity} clinical trial
disorder_00301,disorder,pair_core,LSD Substance use disorder randomized placebo,LSD,Substance use disorder,indication,{compound} {entity} randomized placebo
disorder_00302,disorder,pair_core,LSD Substance use disorder treatment outcome,LSD,Substance use disorder,indication,{compound} {entity} treatment outcome
disorder_00303,disorder,pair_core,LSD Generalized anxiety disorder clinical trial,LSD,Generalized anxiety disorder,indication,{compound} {entity} clinical trial
disorder_00304,disorder,pair_core,LSD Generalized anxiety disorder randomized placebo,LSD,Generalized anxiety disorder,indication,{compound} {entity} randomized placebo
disorder_00305,disorder,pair_core,LSD Generalized anxiety disorder treatment outcome,LSD,Generalized anxiety disorder,indication,{compound} {entity} treatment outcome
disorder_00306,disorder,pair_core,LSD Social anxiety disorder clinical trial,LSD,Social anxiety disorder,indication,{compound} {entity} clinical trial
disorder_00307,disorder,pair_core,LSD Social anxiety disorder randomized placebo,LSD,Social anxiety disorder,indication,{compound} {entity} randomized placebo
disorder_00308,disorder,pair_core,LSD Social anxiety disorder treatment outcome,LSD,Social anxiety disorder,indication,{compound} {entity} treatment outcome
disorder_00309,disorder,pair_core,LSD Distress associated with life-threatening disease clinical trial,LSD,Distress associated with life-threatening disease,indication,{compound} {entity} clinical trial
disorder_00310,disorder,pair_core,LSD Distress associated with life-threatening disease randomized placebo,LSD,Distress associated with life-threatening disease,indication,{compound} {entity} randomized placebo
disorder_00311,disorder,pair_core,LSD Distress associated with life-threatening disease treatment outcome,LSD,Distress associated with life-threatening disease,indication,{compound} {entity} treatment outcome
disorder_00312,disorder,pair_core,LSD Obsessive-compulsive disorder clinical trial,LSD,Obsessive-compulsive disorder,indication,{compound} {entity} clinical trial
disorder_00313,disorder,pair_core,LSD Obsessive-compulsive disorder randomized placebo,LSD,Obsessive-compulsive disorder,indication,{compound} {entity} randomized placebo
disorder_00314,disorder,pair_core,LSD Obsessive-compulsive disorder treatment outcome,LSD,Obsessive-compulsive disorder,indication,{compound} {entity} treatment outcome
disorder_00315,disorder,pair_core,LSD Eating disorders clinical trial,LSD,Eating disorders,indication,{compound} {entity} clinical trial
disorder_00316,disorder,pair_core,LSD Eating disorders randomized placebo,LSD,Eating disorders,indication,{compound} {entity} randomized placebo
disorder_00317,disorder,pair_core,LSD Eating disorders treatment outcome,LSD,Eating disorders,indication,{compound} {entity} treatment outcome
disorder_00318,disorder,pair_core,LSD Anorexia nervosa clinical trial,LSD,Anorexia nervosa,indication,{compound} {entity} clinical trial
disorder_00319,disorder,pair_core,LSD Anorexia nervosa randomized placebo,LSD,Anorexia nervosa,indication,{compound} {entity} randomized placebo
disorder_00320,disorder,pair_core,LSD Anorexia nervosa treatment outcome,LSD,Anorexia nervosa,indication,{compound} {entity} treatment outcome
disorder_00321,disorder,pair_core,LSD Bulimia nervosa clinical trial,LSD,Bulimia nervosa,indication,{compound} {entity} clinical trial
disorder_00322,disorder,pair_core,LSD Bulimia nervosa randomized placebo,LSD,Bulimia nervosa,indication,{compound} {entity} randomized placebo
disorder_00323,disorder,pair_core,LSD Bulimia nervosa treatment outcome,LSD,Bulimia nervosa,indication,{compound} {entity} treatment outcome
disorder_00324,disorder,pair_core,LSD Binge-eating disorder clinical trial,LSD,Binge-eating disorder,indication,{compound} {entity} clinical trial
disorder_00325,disorder,pair_core,LSD Binge-eating disorder randomized placebo,LSD,Binge-eating disorder,indication,{compound} {entity} randomized placebo
disorder_00326,disorder,pair_core,LSD Binge-eating disorder treatment outcome,LSD,Binge-eating disorder,indication,{compound} {entity} treatment outcome
disorder_00327,disorder,pair_core,LSD Autism spectrum disorder clinical trial,LSD,Autism spectrum disorder,indication,{compound} {entity} clinical trial
disorder_00328,disorder,pair_core,LSD Autism spectrum disorder randomized placebo,LSD,Autism spectrum disorder,indication,{compound} {entity} randomized placebo
disorder_00329,disorder,pair_core,LSD Autism spectrum disorder treatment outcome,LSD,Autism spectrum disorder,indication,{compound} {entity} treatment outcome
disorder_00330,disorder,pair_core,LSD Demoralization clinical trial,LSD,Demoralization,indication,{compound} {entity} clinical trial
disorder_00331,disorder,pair_core,LSD Demoralization randomized placebo,LSD,Demoralization,indication,{compound} {entity} randomized placebo
disorder_00332,disorder,pair_core,LSD Demoralization treatment outcome,LSD,Demoralization,indication,{compound} {entity} treatment outcome
disorder_00333,disorder,pair_core,LSD Suicidal ideation clinical trial,LSD,Suicidal ideation,indication,{compound} {entity} clinical trial
disorder_00334,disorder,pair_core,LSD Suicidal ideation randomized placebo,LSD,Suicidal ideation,indication,{compound} {entity} randomized placebo
disorder_00335,disorder,pair_core,LSD Suicidal ideation treatment outcome,LSD,Suicidal ideation,indication,{compound} {entity} treatment outcome
disorder_00336,disorder,pair_core,LSD Cluster headache clinical trial,LSD,Cluster headache,indication,{compound} {entity} clinical trial
disorder_00337,disorder,pair_core,LSD Cluster headache randomized placebo,LSD,Cluster headache,indication,{compound} {entity} randomized placebo
disorder_00338,disorder,pair_core,LSD Cluster headache treatment outcome,LSD,Cluster headache,indication,{compound} {entity} treatment outcome
disorder_00339,disorder,pair_core,LSD Headache disorders clinical trial,LSD,Headache disorders,indication,{compound} {entity} clinical trial
disorder_00340,disorder,pair_core,LSD Headache disorders randomized placebo,LSD,Headache disorders,indication,{compound} {entity} randomized placebo
disorder_00341,disorder,pair_core,LSD Headache disorders treatment outcome,LSD,Headache disorders,indication,{compound} {entity} treatment outcome
disorder_00342,disorder,pair_core,LSD Migraine clinical trial,LSD,Migraine,indication,{compound} {entity} clinical trial
disorder_00343,disorder,pair_core,LSD Migraine randomized placebo,LSD,Migraine,indication,{compound} {entity} randomized placebo
disorder_00344,disorder,pair_core,LSD Migraine treatment outcome,LSD,Migraine,indication,{compound} {entity} treatment outcome
disorder_00345,disorder,pair_core,LSD Chronic pain clinical trial,LSD,Chronic pain,indication,{compound} {entity} clinical trial
disorder_00346,disorder,pair_core,LSD Chronic pain randomized placebo,LSD,Chronic pain,indication,{compound} {entity} randomized placebo
disorder_00347,disorder,pair_core,LSD Chronic pain treatment outcome,LSD,Chronic pain,indication,{compound} {entity} treatment outcome
disorder_00348,disorder,pair_core,LSD Fibromyalgia clinical trial,LSD,Fibromyalgia,indication,{compound} {entity} clinical trial
disorder_00349,disorder,pair_core,LSD Fibromyalgia randomized placebo,LSD,Fibromyalgia,indication,{compound} {entity} randomized placebo
disorder_00350,disorder,pair_core,LSD Fibromyalgia treatment outcome,LSD,Fibromyalgia,indication,{compound} {entity} treatment outcome
disorder_00351,disorder,pair_core,Psilocybin Treatment-resistant depression clinical trial,Psilocybin,Treatment-resistant depression,indication,{compound} {entity} clinical trial
disorder_00352,disorder,pair_core,Psilocybin Treatment-resistant depression randomized placebo,Psilocybin,Treatment-resistant depression,indication,{compound} {entity} randomized placebo
