line_no,doi,compound,entity,title,year,authors,existing_sources
6,10.1007/s00213-023-06366-y,25C-NBOMe,5-HT2A,The effects of serotonergic psychedelics in synaptic and intrinsic properties of neurons in layer II/III of the orbitofrontal cortex.,2023,Tang ZH; Yu ZP; Li Q; Zhang XQ; Muhetaer K; Wang ZC; Xu P; Shen HW,disorder:paper_library
7,10.1016/j.neuropharm.2023.109452,25C-NBOMe,5-HT2A,The high frequency oscillation in orbitofrontal cortex is susceptible to phenethylamine psychedelic 25C-NBOMe in male rats.,2023,Yu ZP; Li Q; Wu ZX; Tang ZH; Zhang XQ; Wang ZC; Xu P; Shen HW,mechanistic:paper_library
13,10.1021/acschemneuro.0c00129,TMA,5-HT2A,"Investigation of the 2,5-Dimethoxy Motif in Phenethylamine Serotonin 2A Receptor Agonists.",2020,Marcher-Rørsted E; Halberstadt AL; Klein AK; Chatha M; Jademyr S; Jensen AA; Kristensen JL,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
15,10.3389/fphar.2019.01423,TMA,TAAR1,"Receptor Interaction Profiles of 4-Alkoxy-Substituted 2,5-Dimethoxyphenethylamines and Related Amphetamines.",2019,Kolaczynska KE; Luethi D; Trachsel D; Hoener MC; Liechti ME,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
16,10.1016/j.neuropharm.2018.02.033,25C-NBOMe,5-HT2A,"Comparative neuropharmacology of N-(2-methoxybenzyl)-2,5-dimethoxyphenethylamine (NBOMe) hallucinogens and their 2C counterparts in male rats.",2018,Elmore JS; Decker AM; Sulima A; Rice KC; Partilla JS; Blough BE; Baumann MH,candidate_paper_corpus | mechanistic:paper_library
17,10.1016/j.tiv.2017.05.010,25B-NBOMe,SERT (SLC6A4),"Measuring inhibition of monoamine reuptake transporters by new psychoactive substances (NPS) in real-time using a high-throughput, fluorescence-based assay.",2017,Zwartsen A; Verboven AHA; van Kleef RGDM; Wijnolts FMJ; Westerink RHS; Hondebrink L,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
20,10.1007/s13181-014-0445-9,25C-NBOMe,5-HT2A,Evolution of the NBOMes: 25C- and 25B- Sold as 25I-NBOMe.,2015,Laskowski LK; Elbakoush F; Calvo J; Exantus-Bernard G; Fong J; Poklis JL; Poklis A; Nelson LS,mechanistic:paper_library
22,10.1155/2014/734749,25C-NBOMe,5-HT2A,"25C-NBOMe: preliminary data on pharmacology, psychoactive effects, and toxicity of a new potent and dangerous hallucinogenic drug.",2014,Bersani FS; Corazza O; Albano G; Valeriani G; Santacroce R; Bolzan Mariotti Posocco F; Cinosi E; Simonato P; Martinotti G; Bersani G,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
23,10.1177/0269881114523866,25C-NBOMe,5-HT2A,"The NBOMe hallucinogenic drug series: Patterns of use, characteristics of users and self-reported effects in a large international sample.",2014,Lawn W; Barratt M; Williams M; Horne A; Winstock A,mechanistic:paper_library
25,10.1016/j.neuropharm.2013.01.014,TMA,5-HT2A,Role of the 5-HT₂A receptor in the locomotor hyperactivity produced by phenylalkylamine hallucinogens in mice.,2013,Halberstadt AL; Powell SB; Geyer MA,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
32,10.1177/108705710000500410,TMA,5-HT2A,Development of a 5-hydroxytryptamine(2A) receptor binding assay for high throughput screening using 96-well microfilter plates.,2000,Harms A; Gündisch D; Müller CE; Kovar KA,candidate_paper_corpus | mechanistic:paper_library
