# discovered queue (mechanistic) generated at 2026-05-17T06:13:07.171744+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1177/02698811261443696,DMT,5-HT1A,5-HT(1A) receptor blockade potentiates the subjective effects of DMT.,2026,Zahid Z; Strassman RJ; Qualls CR; Nayak SM
10.3390/biomedicines14030506,5-MeO-DMT,5-HT2A,"Ayahuasca and Its Main Component N,N-Dimethyltryptamine (DMT) for the Treatment of Mental Disorders: Mechanisms of Action, Clinical Studies, and Tools to Explore the Human Mind.",2026,Melani A; Papini G; Bonaso M; Biso L; Kolachalam S; Bragazzi NL; Conversano C; Orrù G; Longoni B; Scarselli M
10.1016/j.euroneuro.2025.11.009,Ayahuasca,5-HT2A,Ayahuasca modulation of traumatic-like fear memories requires infralimbic cortex BDNF-dependent mechanisms in rats.,2026,Werle I; Guimarães FS; Dos Santos RG; Hallak JEC; Bertoglio LJ
10.1016/j.neuroscience.2026.02.028,LSD,Sigma-1 receptor (SIGMAR1),Hallucinogenic Therapy in Alzheimer's Disease targeting Mitochondria-Associated Membranes.,2026,Minauro-Sanmiguel F; Vargas-Perez H
10.1016/j.phrs.2025.108080,Psilocybin,5-HT2B,"Low, non-psychedelic doses of psilocybin as a novel treatment for MASLD, obesity and type 2 diabetes via 5-HT2B receptor-dependent mechanisms.",2026,Colognesi M; Gabbia D; Signor A; Sarill M; Centofanti L; Rinaldi A; Cascione L; Nunziata S; Banzato M; Mattarei A
10.1038/s41380-025-03308-2,DMT,5-HT2A,"Neuropharmacology of halogenated DMT analogs: psychoplastogenic and antidepressant properties of 5-Br-DMT, a psychedelic derivative with low hallucinogenic potential.",2026,Puigseslloses P; Nadal-Gratacós N; Fumàs B; Modenutti CP; Pottie E; Ortigosa JR; Pablo-Quesada A; Riera-Colomer C; Ettcheto M; Berzosa X
10.1007/978-981-95-6872-7_23,Psilocybin,TAAR1,New Antidepressant Development in the Treatment of Depression.,2026,Spiti A; Caldirola D; Perna G
10.1016/j.mcn.2026.104076,LSD,AMPA receptor,"Pharmacological regulation of adult brain neuroplasticity: Synergistic roles of neuropeptide signaling, psychedelics, and synaptic modulators.",2026,Shokr MM; Fawzy MN; Abdelaziz AM
10.7554/eLife.104006,Psilocin,5-HT2A,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons.,2026,Schmidt M; Hoffrichter A; Davoudi M; Horschitz S; Lau T; Meinhardt MW; Spanagel R; Ladewig J; Köhr G; Koch P
10.1016/j.cub.2025.11.031,Psilocybin,5-HT2C,Psilocybin induces sex- and context-specific recruitment of the stress axis.,2026,Cook SG; Lee S; Ference E; Shi Y; Baimoukhametova D; Rojas-Carvajal M; Hen R; Bains JS; Turi GF; Füzesi T
10.1016/j.schres.2026.03.003,LSD,NMDA receptor,Psychedelics for treatment of negative symptoms and depressive symptoms in schizophrenia spectrum disorder: A narrative review.,2026,Sabé M; Grof P; Sackett NB; Tai S; Kryskow P; Bershad A; Turkington D; Buonarroti M; De Pieri M; Baniotopoulos P
10.1007/978-981-95-6872-7_25,Psilocybin,NMDA receptor,Psychedelics: Future Therapeutics in Major Depression?,2026,Olivier B; Olivier JDA
10.7554/eLife.110981,Psilocybin,5-HT2A,Reshaping human neurons.,2026,Maltman JL; González-Maeso J
10.1152/jn.00519.2025,Psilocin,5-HT2A,Serotonergic modulation of cortical gamma synchronization: right-lateralized psilocin effects on 40 Hz auditory steady-state responses in rats.,2026,Griškova-Bulanova I; Vejmola Č; Páleníček T
10.1080/10826084.2025.2612330,LSD,NMDA receptor,"The Emerging Crisis in Non-Prescribed Ketamine Use: A Rapid Attenuation of Depression in Face of Abuse and ""Chill-out"" or Escapism Drug.",2026,Lewandrowski KU; Blum K; Schmidt S; Alvim Fiorelli RK; Gold MS; Mohankumar K; Sharafshah A; Bagchi D; Pinhasov A; Lorio MP
10.1007/s43440-025-00817-3,Psilocybin,5-HT1A,The effect of psilocin on neurotransmitters release in the claustrum and on rat behavior.,2026,Kościuk Z; Szpręgiel I; Bysiek A; Gołembiowska K
10.1038/s41380-025-03387-1,Psilocybin,5-HT1B,The serotonin 1B receptor is required for some of the behavioral effects of psilocybin in mice.,2026,Fleury S; Nautiyal KM
10.1016/j.expneurol.2026.115822,DMT,5-HT2A,"Therapeutic properties of ayahuasca component N,N-Dimethyltryptamine in a pre-clinical model of Parkinson's disease.",2026,Calleja-Conde J; Echeverry-Alzate V; Sanz-SanCristobal M; Alonso-Gil S; Giné E; Bühler K; López-Moreno JA; Perez-Castillo A; Morales-García JA
10.1007/s00213-023-06517-1,DMT,5-HT1A,"5-MeO-DMT: An atypical psychedelic with unique pharmacology, phenomenology & risk?",2025,Dourron HM; Nichols CD; Simonsson O; Bradley M; Carhart-Harris R; Hendricks PS
10.1177/02698811251378512,DMT,5-HT2A,"A novel psychedelic 5-HT(2A) receptor agonist GM-2505: The pharmacokinetic, safety, and pharmacodynamic profile from a randomized trial healthy volunteer.",2025,Marek GJ; Makai-Bölöni S; Umbricht D; Christian EP; Winters J; Dvorak D; Raines S; Hughes ZA; Austin EW; Klein AK
10.1177/02698811251353251,Psilocybin,5-HT2A,A systematic review and narrative summary of the therapeutic potential of classic serotonergic psychedelics for smoking cessation and reduction.,2025,Glenn DL; Choi SH; Zimmerman RS
10.1111/ejn.70351,Psilocybin,SERT (SLC6A4),Acute Blockade of the Serotonin Transporter With Low Doses of Escitalopram Does Not Alter the Behavioural Responses to Acute Psilocybin.,2025,Kleditzsch N; Gattuso JJ; Hannan AJ; Renoir T
10.1177/0271678X251323364,Psilocybin,5-HT2A,Acute psilocybin and ketanserin effects on cerebral blood flow: 5-HT2AR neuromodulation in healthy humans.,2025,Larsen K; Lindberg U; Ozenne B; McCulloch DE; Armand S; Madsen MK; Johansen A; Stenbæk DS; Knudsen GM; Fisher PM
10.1002/dta.3829,LSD,5-HT2A,Analytical and Pharmacological Characterization of 1-(Furan-2-Carbonyl)-LSD (1F-LSD) and Comparison With 1-(Thiophene-2-Carbonyl)-LSD (1T-LSD).,2025,Brandt SD; Kavanagh PV; Gare S; Elliott SP; Stratford A; Halberstadt AL
10.1021/acsptsci.5c00202,LSD,5-HT2B,Assessing the Potential Cardiovascular Risk of Microdosing the Psychedelic LSD in Mice.,2025,Effinger DP; Schalk SS; King JL; Wallingford JR; O'Connell CK; Calderon JR; Kopecky BJ; McCorvy JD; Thompson SM
10.1007/s43440-024-00679-1,LSD,5-HT5A,Assessing the effects of 5-HT(2A) and 5-HT(5A) receptor antagonists on DOI-induced head-twitch response in male rats using marker-less deep learning algorithms.,2025,Cyrano E; Popik P
10.1016/j.pnpbp.2025.111249,Psilocin,5-HT2A,Clinical and preclinical evidence of psilocybin as antidepressant. A narrative review.,2025,Erkizia-Santamaría I; Horrillo I; Meana JJ; Ortega JE
10.1016/j.biopsych.2025.02.903,Psilocybin,kappa opioid receptor (OPRK1),Current Evidence for the Role of Rapid-Acting Antidepressants in Bipolar Depression: A Perspective and Plan for Action.,2025,Repple J; Bayas M; Möser C; Kobayashi NF; Reif A
10.1021/acs.jmedchem.5c00442,LSD,5-HT2A,"Design, Synthesis, and In Vitro Characterization of a Tryptamine-Based Visible-Light Photoswitchable 5-HT(2A)R Ligand Showing Efficacy Preference for β-Arrestin over Mini-Gq.",2025,Sink A; Pottie E; Carter SJ; Tombari RJ; Weber V; Carloni P; Rossetti G; Olson DE; Stove CP; Decker M
10.1016/j.brainres.2024.149425,DMT,5-HT2A,Dimethyltryptamine (DMT) and ibogaine elicit membrane effects in HEK cells transiently transfected with the human 5-HT2A receptor.,2025,Eliasen JN; Kristiansen U; Kohlmeier KA
10.3389/fnins.2025.1554049,Psilocin,5-HT2A,Dose-dependent changes in global brain activity and functional connectivity following exposure to psilocybin: a BOLD MRI study in awake rats.,2025,Fuini E; Chang A; Ortiz RJ; Nasseef T; Edwards J; Latta M; Gonzalez E; Woodward TJ; Axe B; Maheswari A
10.1186/s10194-025-02008-0,Psilocybin,5-HT2C,Ergotamine enhances circadian amplitude and diurnally mitigates nitroglycerin-induced mechanical hypersensitivity.,2025,Han C; Baek H; Lim JY; Kim E; Tran CK; Freeman E; Chen Z; Yoo SH; Burish MJ
10.1111/bph.70109,LSD,5-HT2A,Evidence that 5-HT(2A) receptor signalling efficacy and not biased agonism differentiates serotonergic psychedelic from non-psychedelic drugs.,2025,Ippolito A; Vasudevan S; Hurley S; Gilmour G; Westhorpe F; Churchill G; Sharp T
10.1016/j.neuropharm.2025.110314,DMT,5-HT2A,Exploring DMT: Endogenous role and therapeutic potential.,2025,Schimmelpfennig J; Jankowiak-Siuda K
10.7759/cureus.90425,Psilocybin,NMDA receptor,"Exploring the Therapeutic Potential of Ketamine and Psilocybin in Comparison to Current Treatment Regimens for Treatment-Resistant Depression, Mood Disorders, and Post-traumatic Stress Disorder in the Pediatric Population: A Narrative Review.",2025,Hughes B; Mirza S; Ponamala M; Sagaser J; Paredes R; Hematillake N; Tailor C; Khan R; Pemminati S
10.1021/acsptsci.5c00255,Psilocybin,5-HT2A,Females in Psychedelic Research: A Perspective for Advancing Research and Practice.,2025,Cohen ZZ; Blest-Hopley G
10.3390/brainsci15090935,DMT,Sigma-1 receptor (SIGMAR1),"Implications of Indolethylamine N-Methyltransferase (INMT) in Health and Disease: Biological Functions, Disease Associations, Inhibitors, and Analytical Approaches.",2025,Abouheif S; Awad A; McCurdy CR
10.1016/j.ejphar.2025.177304,Psilocybin,SERT (SLC6A4),Mice lacking the serotonin transporter do not respond to the behavioural effects of psilocybin.,2025,Gattuso JJ; Wilson C; Li S; Hannan AJ; Renoir T
10.1016/j.pnpbp.2025.111259,DMT,5-HT2A,"N, N-dimethyltryptamine (DMT) in rodent brain: Concentrations, distribution, and recent pharmacological data.",2025,Barker SA
10.1126/sciadv.adx5958,DMT,Sigma-1 receptor (SIGMAR1),"N,N-dimethyltryptamine mitigates experimental stroke by stabilizing the blood-brain barrier and reducing neuroinflammation.",2025,László MJ; Vigh JP; Kocsis AE; Porkoláb G; Hoyk Z; Polgár T; Walter FR; Szabó A; Djurovic S; Merkely B
10.1038/s42003-025-08078-9,DMT,5-HT2A,"Network control energy reductions under DMT relate to serotonin receptors, signal diversity, and subjective experience.",2025,Singleton SP; Timmermann C; Luppi AI; Eckernäs E; Roseman L; Carhart-Harris RL; Kuceyeski A
10.1111/bph.70050,LSD,5-HT2A,Neuropsychopharmacology of hallucinogenic and non-hallucinogenic 5-HT(2A) receptor agonists.,2025,Sharp T; Ippolito A
10.1177/02698811251361453,Psilocybin,5-HT2A,Pharmacological characterisation of psilocybin and 5-MeO-DMT discriminative cues in the rat and their translational value for identifying novel psychedelics.,2025,Higgins GA; MacMillan C; de Lannoy I; Tyler C; Slassi M
10.2174/0113892010299804240324140017,LSD,5-HT2A,"Potential Serotonin 5-HT2A Receptor Agonist of Psychoactive Components of Silene undulata Aiton: LC-MS/MS, ADMET, and Molecular Docking Studies.",2025,Alhawarri MB; Olimat S
10.1002/prp2.70079,Psilocybin,5-HT2A,"Psilocin, A Psychedelic Drug, Exerts Anticonvulsant Effects Against PTZ- and MES-Induced Seizures in Mice via 5-HT1A and CB1 Receptors: Involvement of Nitrergic, Opioidergic, and Kynurenine Pathways.",2025,Balabandian M; Manavi MA; Lesani A; Mohammad Jafari R; Shafaroodi H; Heidari N; Mirnajafi-Zadeh J; Foroumadi A; Afrooghe A; Dehpour AR
10.1177/02698811251330783,Psilocybin,5-HT2B,Psilocybin and ketamine affect novel neuropeptides gene expression in the rat hypothalamus.,2025,Pałasz A; Pukowiec M; Bogus K; Suszka-Świtek A; Filipczyk Ł; Mordecka-Chamera K; Worthington JJ; Sygidus M; Wojtas A; Bysiek A
10.1016/j.intimp.2025.114940,Psilocybin,5-HT2A,Psilocybin and psilocin regulate microglial immunomodulation and support neuroplasticity via serotonergic and AhR signaling.,2025,Laabi S; LeMmon C; Vogel C; Chacon M; Jimenez VM Jr
