line_no,doi,compound,entity,title,year,authors,existing_sources
4,10.1038/s41386-023-01744-8,DiPT,5-HT2A,Psilocybin analog 4-OH-DiPT enhances fear extinction and GABAergic inhibition of principal neurons in the basolateral amygdala.,2024,Kelly TJ; Bonniwell EM; Mu L; Liu X; Hu Y; Friedman V; Yu H; Su W; McCorvy JD; Liu QS,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
5,10.1021/acschemneuro.4c00058,DiPT,5-HT2A,"RE104: Synthesis and Activity of a Novel Serotonergic Psychedelic Prodrug of 4-Hydroxy-N,N-diisopropyltryptamine.",2024,Bryson N; Alexander R; Asnis-Alibozek A; Ehlers MD,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
6,10.1007/s00213-022-06279-2,2C-T-2,5-HT2A,"Use of the head-twitch response to investigate the structure-activity relationships of 4-thio-substituted 2,5-dimethoxyphenylalkylamines.",2023,Halberstadt AL; Luethi D; Hoener MC; Trachsel D; Brandt SD; Liechti ME,candidate_paper_corpus | mechanistic:paper_library
7,10.1002/dta.3281,AL-LAD,5-HT2A,"Analytical profile, in vitro metabolism and behavioral properties of the lysergamide 1P-AL-LAD.",2022,Brandt SD; Kavanagh PV; Westphal F; Pulver B; Schwelm HM; Whitelock K; Stratford A; Auwärter V; Halberstadt AL,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
8,10.3390/ijerph19116619,AL-LAD,5-HT2A,Spatiotemporal Mapping of Online Interest in Cannabis and Popular Psychedelics before and during the COVID-19 Pandemic in Poland.,2022,Al-Imam A; Motyka MA; Witulska Z; Younus M; Michalak M,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
10,10.1002/npr2.12161,5-MeO-DiPT,5-HT1A,Dual actions of 5-MeO-DIPT at the serotonin transporter and serotonin 5-HT(1A) receptor in the mouse striatum and prefrontal cortex.,2021,Hagino Y; Hall FS; Uhl GR; Sora I; Ikeda K,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library | mechanistic:stubs
14,10.1002/dta.1985,AL-LAD,5-HT2A,"Return of the lysergamides. Part II: Analytical and behavioural characterization of N(6) -allyl-6-norlysergic acid diethylamide (AL-LAD) and (2'S,4'S)-lysergic acid 2,4-dimethylazetidide (LSZ).",2017,Brandt SD; Kavanagh PV; Westphal F; Elliott SP; Wallach J; Colestock T; Burrow TE; Chapman SJ; Stratford A; Nichols DE,candidate_paper_corpus | mechanistic:paper_library
15,10.1007/s12640-016-9654-0,5-MeO-DiPT,5-HT2A,Neurotoxic Effects of 5-MeO-DIPT: A Psychoactive Tryptamine Derivative in Rats.,2016,Noworyta-Sokołowska K; Kamińska K; Kreiner G; Rogóż Z; Gołembiowska K,candidate_paper_corpus | mechanistic:paper_library
16,10.1016/j.euroneuro.2016.05.001,DiPT,5-HT2A,Receptor interaction profiles of novel psychoactive tryptamines compared with classic hallucinogens.,2016,Rickli A; Moning OD; Hoener MC; Liechti ME,benchmark_manifest | candidate_paper_corpus | mechanistic:paper_library
17,10.1016/j.neuropharm.2015.08.034,2C-T-2,5-HT2A,"Receptor interaction profiles of novel N-2-methoxybenzyl (NBOMe) derivatives of 2,5-dimethoxy-substituted phenethylamines (2C drugs).",2015,Rickli A; Luethi D; Reinisch J; Buchy D; Hoener MC; Liechti ME,candidate_paper_corpus | mechanistic:paper_library
18,10.1007/s00204-015-1513-x,5-MeO-DiPT,5-HT2A,The hallucinogenic world of tryptamines: an updated review.,2015,Araújo AM; Carvalho F; Bastos Mde L; Guedes de Pinho P; Carvalho M,candidate_paper_corpus | mechanistic:paper_library
19,10.1007/s00213-014-3658-3,DiPT,5-HT2A,"The role of 5-HT2A, 5-HT 2C and mGlu2 receptors in the behavioral effects of tryptamine hallucinogens N,N-dimethyltryptamine and N,N-diisopropyltryptamine in rats and mice.",2015,Carbonaro TM; Eshleman AJ; Forster MJ; Cheng K; Rice KC; Gatch MB,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
20,10.1007/s00213-013-3303-6,2C-T-2,5-HT2A,"Behavioral and neurochemical pharmacology of six psychoactive substituted phenethylamines: mouse locomotion, rat drug discrimination and in vitro receptor and transporter binding and function.",2014,Eshleman AJ; Forster MJ; Wolfrum KM; Johnson RA; Janowsky A; Gatch MB,candidate_paper_corpus | mechanistic:paper_library
23,10.1124/jpet.114.219337,2C-T-7,5-HT2A,Tolerance and cross-tolerance to head twitch behavior elicited by phenethylamine- and tryptamine-derived hallucinogens in mice.,2014,Smith DA; Bailey JM; Williams D; Fantegrossi WE,candidate_paper_corpus | mechanistic:paper_library
24,10.1016/j.jep.2013.04.044,LSA,5-HT1A,Argyreia nervosa (Burm. f.): receptor profiling of lysergic acid amide and other potential psychedelic LSD-like compounds by computational and binding assay approaches.,2013,Paulke A; Kremer C; Wunder C; Achenbach J; Djahanschiri B; Elias A; Schwed JS; Hübner H; Gmeiner P; Proschak E,candidate_paper_corpus | mechanistic:paper_library
25,10.1124/jpet.111.179705,DiPT,SERT (SLC6A4),Abuse liability profile of three substituted tryptamines.,2011,Gatch MB; Forster MJ; Janowsky A; Eshleman AJ,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
27,10.1124/jpet.109.163451,2C-T-7,5-HT2A,"Differential effects of serotonin 5-HT1A receptor agonists on the discriminative stimulus effects of the 5-HT2A receptor agonist 1-(2,5-dimethoxy-4-methylphenyl)-2-aminopropane in rats and rhesus monkeys.",2010,Li JX; Koek W; Rice KC; France CP,candidate_paper_corpus | mechanistic:paper_library
31,10.1007/s00702-009-0308-8,DiPT,SERT (SLC6A4),Dimethyltryptamine and other hallucinogenic tryptamines exhibit substrate behavior at the serotonin uptake transporter and the vesicle monoamine transporter.,2009,Cozzi NV; Gopalakrishnan A; Anderson LL; Feih JT; Shulgin AT; Daley PF; Ruoho AE,candidate_paper_corpus | mechanistic:paper_library
32,10.1124/jpet.108.145458,2C-T-7,5-HT2A,"Discriminative stimulus effects of 1-(2,5-dimethoxy-4-methylphenyl)-2-aminopropane in rhesus monkeys: antagonism and apparent pA2 analyses.",2009,Li JX; Rice KC; France CP,candidate_paper_corpus | mechanistic:paper_library
33,10.1124/jpet.107.130625,2C-T-7,kappa opioid receptor (OPRK1),"Discriminative stimulus effects of 1-(2,5-dimethoxy-4-methylphenyl)-2-aminopropane in rhesus monkeys.",2008,Li JX; Rice KC; France CP,candidate_paper_corpus | mechanistic:paper_library
34,10.1016/j.pbb.2007.09.007,DPT,5-HT2A,"Hallucinogen-like effects of N,N-dipropyltryptamine (DPT): possible mediation by serotonin 5-HT1A and 5-HT2A receptors in rodents.",2008,Fantegrossi WE; Reissig CJ; Katz EB; Yarosh HL; Rice KC; Winter JC,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
36,10.1097/fbp.0b013e3281f19ca0,DPT,5-HT2A,Behavioral effects of dipropyltryptamine in rats: evidence for 5-HT1A and 5-HT2A agonist activity.,2007,Li JX; Rice KC; France CP,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
38,10.1159/000085649,DPT,5-HT1A,Binding properties of dipropyltryptamine at the human 5-HT1a receptor.,2005,Thiagaraj HV; Russo EB; Burnett A; Goldstein E; Thompson CM; Parker KK,candidate_paper_corpus | mechanistic:paper_library
39,10.1007/s00213-005-0009-4,2C-T-7,5-HT2A,"Hallucinogen-like actions of 2,5-dimethoxy-4-(n)-propylthiophenethylamine (2C-T-7) in mice and rats.",2005,Fantegrossi WE; Harrington AW; Eckler JR; Arshad S; Rabin RA; Winter JC; Coop A; Rice KC; Woods JH,candidate_paper_corpus | mechanistic:paper_library
