line_no,doi,compound,entity,title,year,authors,existing_sources
3,10.1111/head.70016,PRO-LAD,Headache disorders,2025 guideline update to acute treatment of migraine for adults in the emergency department: The American Headache Society evidence assessment of parenteral pharmacotherapies.,2026,Robblee J; Minen MT; Friedman BW; Cortel-LeBlanc MA; Cortel-LeBlanc A; Orr SL,disorder:paper_library
4,10.1038/s41591-025-04154-z,PRO-LAD,Persistent depressive disorder,A short-acting psychedelic intervention for major depressive disorder: a phase IIa randomized placebo-controlled trial.,2026,Erritzoe D; Barba T; Benway T; Joel Z; Good M; Layzell M; Jones MB; Campbell G; Murphy-Beiner A; Rands P,candidate_paper_corpus | disorder:paper_library
5,10.1097/adm.0000000000001538,PRO-LAD,Methamphetamine use disorder,"Craving, Impulsivity, and Subsequent Methamphetamine Use With Naltrexone-Bupropion Versus Placebo: Findings From a Randomized Clinical Trial.",2026,Jha MK; Ghitza UE; Carmody T; Kuruvila S; Shoptaw S; Minhajuddin A; Wakhlu S; Schmitz JM; Coffin PO; Bart G,candidate_paper_corpus | disorder:paper_library
8,10.1111/add.70315,PRO-LAD,Methamphetamine use disorder,Gender differences in the impact of psychological distress on methamphetamine use disorder outcomes and treatment effect.,2026,Amin-Esmaeili M; Byregowda H; Susukida R; Mojtabai R; Crum RM,candidate_paper_corpus | disorder:paper_library
9,10.1097/yic.0000000000000597,PRO-LAD,Bipolar depression,Lumateperone monotherapy for major depressive episodes associated with bipolar disorder: efficacy and safety in a randomized placebo-controlled trial.,2026,Correll CU; Durgam S; Kozauer SG; Lakkis HD; Chen C; Vanover KE; Mates S; Davis RE,candidate_paper_corpus | disorder:paper_library
10,10.1136/bmj-2024-083443,PRO-LAD,Obsessive-compulsive disorder,Management of obsessive-compulsive disorder in adults.,2026,Abramowitz JS; Abramovitch A; McKay D; Draffin A,candidate_paper_corpus | disorder:paper_library
11,10.1016/j.jpainsymman.2025.10.015,PRO-LAD,Demoralization,Meaning and Psychedelics in Palliative Care: A Narrative Review.,2026,Alexander WB; Hansen ED; Anderson BT; Zarrabi AJ; Rogers AH; Loewen G; Ficarro ZR; Alexander MH; Schaefer D; Case AA,candidate_paper_corpus | disorder:paper_library
13,10.1093/pm/pnaf089,PRO-LAD,Fibromyalgia,Pain relief by targeting nonrestorative sleep in fibromyalgia: a phase 3 randomized trial of bedtime sublingual cyclobenzaprine.,2026,Lederman S; Arnold LM; Vaughn B; Engels JM; Kelley M; Sullivan GM,candidate_paper_corpus | disorder:paper_library
17,10.1001/jamanetworkopen.2026.11029,PRO-LAD,Cocaine use disorder,Psilocybin in the Treatment of Cocaine Use Disorder: A Randomized Clinical Trial.,2026,Hendricks PS; Lappan SN; Shelton RC; Lahti AC; Cropsey KL; Johnson MW; Bradley M; Simonsson O; Davis LL; Grossman DH,disorder:paper_library
18,10.3389/fpsyg.2026.1684921,PRO-LAD,Complex post-traumatic stress disorder,Psychotherapy for complex post-traumatic stress disorder: efficacy and therapeutic factors.,2026,Katalan C; Unterrainer HF; Gelo OCG,candidate_paper_corpus | disorder:paper_library
