# triage-filtered queue generated at 2026-02-12T18:07:24.579743+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1002/brb3.1423,S-ketamine,NMDA receptor,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,
10.1002/cmdc.201700810,Ketamine,NMDA receptor,Comparative Pharmacological Study of Common NMDA Receptor Open Channel Blockers Regarding Their Affinity and Functional Activity toward GluN2A and GluN2B NMDA Receptors,2018,
10.1002/j.1939-4640.2000.tb02122.x,Ketamine,NMDA receptor,Presence of NMDA Receptor Subunits in the Male Lower Urogenital Tract,2000,
10.1002/prp2.70079,Psilocybin,5-HT2A,"Psilocin, A Psychedelic Drug, Exerts Anticonvulsant Effects Against PTZ‐ and MES‐Induced Seizures in Mice via 5‐HT1A and CB1 Receptors: Involvement of Nitrergic, Opioidergic, and Kynurenine Pathways",2025,
10.1002/wps.20269,S-ketamine,NMDA receptor,"Ketamine for depression: evidence, challenges and promise",2015,
10.1007/s00213-006-0566-1,5-MeO-DMT,5-HT1A,The roles of 5-HT1A and 5-HT2 receptors in the effects of 5-MeO-DMT on locomotor activity and prepulse inhibition in rats,2006,
10.1007/s00406-023-01570-5,S-ketamine,NMDA receptor,Arketamine for cognitive impairment in psychiatric disorders,2023,
10.1007/s12640-017-9759-0,S-ketamine,NMDA receptor,Comparison of the Psychopharmacological Effects of Tiletamine and Ketamine in Rodents,2017,
10.1007/s43440-023-00539-4,LSD,5-HT2A,Cardiovascular safety of psychedelic medicine: current status and future directions,2023,
10.1016/j.bbrc.2013.11.104,DOI,5-HT2A,Hallucinogenic 5-HT2AR agonists LSD and DOI enhance dopamine D2R protomer recognition and signaling of D2-5-HT2A heteroreceptor complexes,2013,
10.1016/j.bmcl.2018.01.055,Salvinorin A,kappa opioid receptor (OPRK1),O6C-20-nor-salvinorin A is a stable and potent KOR agonist,2018,
10.1016/j.drugalcdep.2023.110446,5-MeO-DMT,5-HT1A,Involvement of 5-HT2A and 5-HT1A Receptors in the Pharmacological Effects of 5-MeO-DMT Analogs in Male C57BL/6J Mice,2024,
10.1016/j.ejmech.2014.07.077,Salvinorin A,kappa opioid receptor (OPRK1),Michael acceptor approach to the design of new salvinorin A-based high affinity ligands for the kappa-opioid receptor,2014,
10.1016/j.jpsychires.2016.10.023,Ketamine,NMDA receptor,Case series: Antidepressant effects of low-affinity and low-trapping NMDA receptor antagonists did not predict response to ketamine in seven subjects,2016,
10.1016/j.neuint.2018.09.008,MDMA,SERT,“Polytox” synthetic cathinone abuse: A potential role for organic cation transporter 3 in combined cathinone-induced efflux,2018,
10.1016/j.neuint.2018.09.008,MDMA,SERT (SLC6A4),“Polytox” synthetic cathinone abuse: A potential role for organic cation transporter 3 in combined cathinone-induced efflux,2018,
10.1016/j.neulet.2012.12.053,LSD,5-HT2A,Chronic treatment with LY341495 decreases 5-HT2A receptor binding and hallucinogenic effects of LSD in mice,2013,
10.1016/j.neuropharm.2011.04.001,5-MeO-DMT,5-HT1A,"Enhanced effects of amphetamine but reduced effects of the hallucinogen, 5-MeO-DMT, on locomotor activity in 5-HT1A receptor knockout mice: Implications for schizophrenia",2011,
10.1016/j.neuropharm.2015.07.037,Ketamine,NMDA receptor,"Antidepressant-like effects of ketamine, norketamine and dehydronorketamine in forced swim test: Role of activity at NMDA receptor",2015,
10.1016/j.neuropharm.2017.11.049,5-MeO-DMT,5-HT1A,The serotonin hallucinogen 5-MeO-DMT alters cortico-thalamic activity in freely moving mice: Regionally-selective involvement of 5-HT1A and 5-HT2A receptors,2017,
10.1016/j.neuropharm.2018.06.018,MDMA,SERT,"The psychostimulant (±)-cis-4,4′-dimethylaminorex (4,4′-DMAR) interacts with human plasmalemmal and vesicular monoamine transporters",2018,
10.1016/j.neuropharm.2018.06.018,MDMA,SERT (SLC6A4),"The psychostimulant (±)-cis-4,4′-dimethylaminorex (4,4′-DMAR) interacts with human plasmalemmal and vesicular monoamine transporters",2018,
10.1016/j.neuropharm.2021.108612,DMT,Sigma-1 receptor (SIGMAR1),"N,N-Dimethyltryptamine attenuates spreading depolarization and restrains neurodegeneration by sigma-1 receptor activation in the ischemic rat brain",2021,
10.1016/j.nucmedbio.2005.12.001,Ketamine,NMDA receptor,Ketamine displaces the novel NMDA receptor SPET probe [123I]CNS-1261 in humans in vivo,2006,
10.1016/j.pbb.2013.05.005,Ketamine,NMDA receptor,Comparison of behavioral effects of the NMDA receptor channel blockers memantine and ketamine in rats,2013,
10.1016/j.pbb.2021.173154,S-ketamine,NMDA receptor,N-Substituted-3-alkoxy-derivatives of dextromethorphan are functional NMDA receptor antagonists in vivo: Evidence from an NMDA-induced seizure model in rats,2021,
10.1016/s0006-3223(01)01110-6,Ketamine,NMDA receptor,Ketamine has equal affinity for NMDA receptors and the high-affinity state of the dopamine d2 receptor,2001,
10.1016/s0006-3223(01)01258-6,Ketamine,NMDA receptor,Comment on “ketamine has equal affinity for NMDA receptors and the high-affinity state of the dopamine D2 receptor”,2001,
10.1016/s0006-3223(01)01265-3,Ketamine,NMDA receptor,Comment on “ketamine has equal affinity for NMDA receptors and the high-affinity state of the dopamine D2 receptor”: Reply,2001,
10.1016/s0014-2999(97)01116-3,Ketamine,NMDA receptor,"Norketamine, the main metabolite of ketamine, is a non-competitive NMDA receptor antagonist in the rat cortex and spinal cord",1997,
10.1017/S1461145714000261,5-MeO-DMT,5-HT1A,"The natural hallucinogen 5-MeO-DMT, component of Ayahuasca, disrupts cortical function in rats: reversal by antipsychotic drugs",2014,
10.1017/s1092852919001470,S-ketamine,NMDA receptor,Dextromethorphan/Bupropion: A Novel Oral NMDA (N-methyl-d-aspartate) Receptor Antagonist with Multimodal Activity,2019,
10.1021/acs.jmedchem.2c00702,LSD,5-HT2A,Discovery of β-Arrestin-Biased 25CN-NBOH-Derived 5-HT<sub>2A</sub>Receptor Agonists,2022,
10.1021/acs.jmedchem.5b01214,Ketamine,NMDA receptor,"Novel Potent<i>N</i>-Methyl-<scp>d</scp>-aspartate (NMDA) Receptor Antagonists or σ<sub>1</sub>Receptor Ligands Based on Properly Substituted 1,4-Dioxane Ring",2015,
10.1021/acs.orglett.7b02177,Ketamine,NMDA receptor,Synthesis and <i>N</i>-Methyl-<scp>d</scp>-aspartate (NMDA) Receptor Activity of Ketamine Metabolites,2017,
10.1021/acscentsci.3c00616,Salvinorin A,kappa opioid receptor (OPRK1),"A Route to Potent, Selective, and Biased Salvinorin Chemical Space",2023,
10.1021/acschemneuro.2c00170,LSD,5-HT2A,Tolerance and Cross-Tolerance among Psychedelic and Nonpsychedelic 5-HT<sub>2A</sub> Receptor Agonists in Mice,2022,
10.1021/acschemneuro.3c00267,LSD,5-HT2A,Structure–Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT<sub>2A</sub> Receptor Agonists,2023,
10.1021/acschemneuro.4c00513,5-MeO-DMT,5-HT1A,"Serotonin 1A Receptors Modulate Serotonin 2A Receptor-Mediated Behavioral Effects of 5-Methoxy-<i>N</i>,<i>N</i>-dimethyltryptamine Analogs in Mice",2024,
10.1021/acschemneuro.5c00443,MDMA,DAT (SLC6A3),Pharmacological Evaluation of Tropane Analogues at the Serotonin Transporter,2025,
10.1021/acschemneuro.5c00647,LSD,5-HT2C,Serotonin 5-HT<sub>2C</sub> Receptor Signaling Analysis Reveals Psychedelic Biased Agonism,2025,
10.1021/acschemneuro.5c00782,MDMA,DAT (SLC6A3),Next-Generation MDMA Analogue SDMA: Pharmacological and Metabolic Insights,2025,
10.1021/acschemneuro.9b00302,DOI,5-HT2A,Big Data Challenges Targeting Proteins in GPCR Signaling Pathways; Combining PTML-ChEMBL Models and [<sup>35</sup>S]GTPγS Binding Assays,2019,
10.1021/bi500175p,DMT,Sigma-1 receptor (SIGMAR1),"Noncompetitive Inhibition of Indolethylamine-<i>N</i>-methyltransferase by<i>N</i>,<i>N</i>-Dimethyltryptamine and<i>N</i>,<i>N</i>-Dimethylaminopropyltryptamine",2014,
10.1021/cn400216u,2C-B,5-HT2A,Synthesis and Structure–Activity Relationships of<i>N</i>-Benzyl Phenethylamines as 5-HT<sub>2A/2C</sub>Agonists,2014,
10.1038/mp.2013.130,Ketamine,NMDA receptor,Lanicemine: a low-trapping NMDA channel blocker produces sustained antidepressant efficacy with minimal psychotomimetic adverse effects,2013,
10.1038/s41398-019-0624-1,Ketamine,NMDA receptor,Molecular and cellular mechanisms underlying the antidepressant effects of ketamine enantiomers and its metabolites,2019,
10.1038/s41398-021-01540-2,S-ketamine,NMDA receptor,N-methyl-D-aspartate receptor availability in first-episode psychosis: a PET-MR brain imaging study,2021,
10.1038/s41398-023-02456-9,Psilocybin,5-HT2A,Effect of psilocybin on marble burying in ICR mice: role of 5-HT1A receptors and implications for the treatment of obsessive-compulsive disorder,2023,
10.1038/sj.bjp.0707473,MDMA,SERT,"Comparative potencies of 3,4‐methylenedioxymethamphetamine (MDMA) analogues as inhibitors of [<sup>3</sup>H]noradrenaline and [<sup>3</sup>H]5‐HT transport in mammalian cell lines",2007,
10.1038/sj.mp.4001093,Ketamine,NMDA receptor,NMDA receptor antagonists ketamine and PCP have direct effects on the dopamine D2 and serotonin 5-HT2 receptors—implications for models of schizophrenia,2002,
10.1055/s-0032-1307601,Salvinorin A,kappa opioid receptor (OPRK1),Michael Acceptor Approach to the Design of New Salvinorin A- Based High Affinity Ligands to the Kappa-Opioid Receptor,2012,
10.1055/s-0033-1336484,Salvinorin A,kappa opioid receptor (OPRK1),Synthesis and In Vitro Biological Evaluation of New Dicarboxylic Ester-type Salvinorin A Analogs,2013,
10.1055/s-0033-1336485,Salvinorin A,kappa opioid receptor (OPRK1),Convenient Synthesis and In Vitro Pharmacological Activity of Thioesters of Salvinorin B,2013,
10.1055/s-0033-1336486,Salvinorin A,kappa opioid receptor (OPRK1),Synthesis and Biological Evaluation of New Salvinorin B-Sulfonate Ester Ligands to Opioid Receptors,2013,
10.1055/s-0035-1545192,Salvinorin A,kappa opioid receptor (OPRK1),High affinity C(2)-thiocarbonate and thioacetate-type salvinorin A ligands to the kappa-opioid receptor,2015,
10.1071/ch23010,Psilocin,5-HT2A,"A review of psilocybin: chemistry, clinical uses and future research directions",2023,
10.1074/jbc.m505055200,MDMA,SERT,Tyr-95 and Ile-172 in Transmembrane Segments 1 and 3 of Human Serotonin Transporters Interact to Establish High Affinity Recognition of Antidepressants,2005,
10.1093/brain/awab406,LSD,5-HT2A,Models of psychedelic drug action: modulation of cortical-subcortical circuits,2021,
10.1093/brain/awab406,Psilocybin,5-HT2A,Models of psychedelic drug action: modulation of cortical-subcortical circuits,2021,
10.1093/ijnp/pyv065,Salvinorin A,kappa opioid receptor (OPRK1),"Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans",2015,
