# Deterministic prescreen retained queue for mechanistic generated at 2026-05-15T18:25:52.070027+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/2211-5463.13219,,,Salvinorin A inhibits ovalbumin‐stimulated allergic rhinitis and RBL‐2H3 cells degranulation,2021,Qiyang Shou; Tao Tan; Faying Xu,FEBS open bio,Journal Article,,2021-06-25,2211-5463,2211-5463,,,allergic rhinitis | inflammation | mast cells | ovalbumin | salvinorin A,Traditional Chinese Medicine Science and Technology Program of Zhejiang Province | Study on the Mechanism of the Effective Components of Salvia Miltiorrhiza in Regulating Mast Cell PLCγ/PKC/Ca2+ Pathway Against Allergic Rhinitis,C2019ZB079 | LY19H280009,,,,,eng,
10.1002/advs.202303503,,,Locus Coeruleus-Dorsolateral Septum Projections Modulate Depression-Like Behaviors via BDNF But Not Norepinephrine.,2024,Zhang Q; Xue Y; Wei K; Wang H; Ma Y; Wei Y; Fan Y; Gao L; Yao H; Wu F,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Journal Article | Research Support, Non-U.S. Gov't",,2023-12-28,2198-3844,2198-3844,,Mice | Animals | Male | Female | Depression / metabolism | Locus Coeruleus / metabolism | Norepinephrine / metabolism | Brain-Derived Neurotrophic Factor / metabolism | Antidepressive Agents / metabolism,BDNF signaling | depression-like behavior | dorsolateral septum | locus coeruleus,National Key R&amp;D Program of China | National Natural Science Foundation of China | Natural Science Foundation of Jiangsu Province,2021ZD0202901 | 81991523 | 82104143 | BK20210683,,,,,eng,
10.1002/brb3.749,,,Short‐ and long‐term antidepressant effects of ketamine in a rat chronic unpredictable stress model,2017,Yinghong Jiang; Yiqiang Wang; Xiaoran Sun; Bo Lian; Hongwei Sun; Gang Wang; Zhongde Du; Qi Li; Lin Sun,Brain and behavior,Journal Article,,2017-06-23,,2162-3279,,"Animals | Antidepressive Agents / pharmacology | Behavior Rating Scale | Behavior, Animal / drug effects | Depressive Disorder / drug therapy | Depressive Disorder / metabolism | Disease Models, Animal | Ketamine / pharmacology | Male | Rats | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Stress, Psychological / complications | Stress, Psychological / metabolism | Time | Treatment Outcome",antidepressant | behavioral test | chronic unpredictable stress | depression | ketamine,,,,,,,eng,
10.1002/chem.202100560,,,A Protecting‐Group‐Free Synthesis of (−)‐Salvinorin A,2021,Patrick Zimdars; Yuzhou Wang; Peter Metz,"Chemistry (Weinheim an der Bergstrasse, Germany)",Journal Article,,2021-05-02,0947-6539,1521-3765,,"Catalysis | Cycloaddition Reaction | Diterpenes, Clerodane | Stereoisomerism",Asymmetric catalysis | Cycloaddition | Mitsunobu reaction | Terpenoids | Total synthesis,,,,,,,eng,
10.1002/cmdc.202500856,,,A Novel Tertiary Carbamate Prodrug Strategy to Overcome Metabolic Barriers in Oral Ketamine Delivery.,2026,Järvinen J; Adla SK; Tampio J; Jalkanen A; Sloan KB; Huttunen KM; Rautio J,ChemMedChem,Journal Article,,2026-01,1860-7179,1860-7187,,"Prodrugs / chemistry | Prodrugs / metabolism | Prodrugs / administration & dosage | Prodrugs / pharmacokinetics | Prodrugs / chemical synthesis | Ketamine / administration & dosage | Ketamine / metabolism | Ketamine / pharmacokinetics | Ketamine / chemistry | Administration, Oral | Animals | Carbamates / chemistry | Carbamates / metabolism | Carbamates / administration & dosage | Mice | Molecular Structure | Biological Availability | Male | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism",bioavailability | ketamine | oral administration | pharmacokinetics | prodrug,,,,,,,eng,
10.1002/epi4.12270,,,Role of <scp>NMDA</scp> receptors in the pathophysiology and treatment of status epilepticus,2018,Jaideep Kapur,Epilepsia open,Journal Article,,2018-11-02,2470-9239,,,,AMPA | GABA | Ketamine | NMDA receptors,,,,,,,eng,
10.1002/iub.1911,,,MicroRNA‐107 regulates anesthesia‐induced neural injury in embryonic stem cell derived neurons,2018,Jun Jiang; Xiao Chun Zheng; Feng Huang; Fei Gao; Mei Zhen You; Ting Zheng,IUBMB life,"Journal Article | Research Support, Non-U.S. Gov't",,2018-10-11,1521-6543,1521-6551,,"Anesthesia / adverse effects | Animals | Apoptosis / genetics | Brain Injuries / chemically induced | Brain-Derived Neurotrophic Factor / genetics | Cell Differentiation / genetics | Embryonic Stem Cells / drug effects | Embryonic Stem Cells / metabolism | Gene Expression Regulation, Developmental / drug effects | Humans | Ketamine / adverse effects | MicroRNAs / antagonists & inhibitors | MicroRNAs / genetics | Neurites / drug effects | Neurites / pathology | Neurogenesis / genetics | Neurons / metabolism | Neurons / pathology | Neurotoxicity Syndromes / genetics | Neurotoxicity Syndromes / pathology | RNA, Small Interfering / genetics | Rats | Signal Transduction / drug effects",BDNF | embryonic stem cell | ketamine | miR-107 | microRNA | neural injury,,,,,,,eng,
10.1002/prp2.403,,,Evaluation of morphine‐like effects of the mixed mu/delta agonist morphine‐6‐<i>O</i>‐sulfate in rats: Drug discrimination and physical dependence,2018,Jai Shankar K. Yadlapalli; Shoban Babu Bommagani; Ryan D. Mahelona; Anqi Wan; Brenda M. Gannon; Narsimha Reddy Penthala; Maxim Dobretsov; Peter A. Crooks; William E. Fantegrossi,Pharmacology research & perspectives,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",,2018-06-19,2052-1707,2052-1707,,"Analgesics, Opioid / pharmacology | Animals | Conditioning, Operant | Discrimination Learning | Drug Tolerance | Male | Morphine Derivatives / pharmacology | Naltrexone / pharmacology | Narcotic Antagonists / pharmacology | Opioid-Related Disorders | Rats, Sprague-Dawley | Receptors, Opioid, delta / agonists | Receptors, Opioid, mu / agonists | Substance Withdrawal Syndrome",abuse liability | delta opioid receptor (DOR) | drug discrimination | mixed‐action mu/delta opioids | morphine | morphine‐6‐O‐sulfate (M6S) | mu opioid receptor (MOR) | physical dependence,NIGMS NIH HHS | NIDA NIH HHS,P20 GM109005 | P30 GM110702 | T32 DA022981,,,,,eng,
10.1002/vms3.936,,,Optimisation of ketamine‐xylazine anaesthetic dose and its association with changes in the dendritic spine of CA1 hippocampus in the young and old male and female Wistar rats,2022,Narges Sotoudeh; Mohammad Reza Namavar,Veterinary medicine and science,"Journal Article | Research Support, Non-U.S. Gov't",,2022-09-12,2053-1095,2053-1095,,"Male | Female | Rats | Animals | Xylazine / pharmacology | Ketamine / pharmacology | Rats, Wistar | Dendritic Spines | Hippocampus | Anesthetics / pharmacology",CA1 region | aging | anaesthesia | dendritic spine | ketamine | xylazine,,,,,,,eng,
10.1007/7854_2023_443,,,Enhancing Fear Extinction: Pharmacological Approaches.,2023,Ponomareva OY; Fenster RJ; Ressler KJ,Current topics in behavioral neurosciences,Journal Article,,2023,1866-3370,,,"Humans | Fear | Extinction, Psychological | Stress Disorders, Post-Traumatic / drug therapy | Learning | Obsessive-Compulsive Disorder",Allopregnanolone | Angiotensin | BDNF | Cannabinoid | Cortisol | Cycloserine | Extinction | Fear | Ketamine | Learning | Losartan | MDMA | Medication | Mifepristone | Pharmacology | Plasticity | Scopolamine,,,,,,,eng,
10.1007/978-981-95-6872-7_25,,,Psychedelics: Future Therapeutics in Major Depression?,2026,Olivier B; Olivier JDA,Advances in experimental medicine and biology,Journal Article | Review,,2026,0065-2598,,,"Humans | Major Depressive Disorder / drug therapy | Major Depressive Disorder / psychology | Hallucinogens / therapeutic use | Hallucinogens / adverse effects | Antidepressive Agents / therapeutic use | Antidepressive Agents / adverse effects | Ketamine / therapeutic use | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / psychology | Psilocybin / therapeutic use | Animals",5-HT2A-receptor | Antidepressants | Ayahuasca | Dissociation | Efficacy | Glutamatergic neurotransmission | Ketamine | Major depressive disorder | NMDA-receptor antagonist | Psilocybin | Psychedelics | Psychoplastinogens | Safety | Tolerability | Treatment-resistant depression,,,,,,,eng,
10.1007/s00213-007-1056-9,,,Acute neuropsychological effects of MDMA and ethanol (co-)administration in healthy volunteers,2008,Glenn Dumont; E. Wezenberg; M. M. G. J. Valkenberg; C.A.J. de Jong; Jan K. Buitelaar; Joop van Gerven; Robbert J. Verkes,Psychopharmacology,"Comparative Study | Journal Article | Randomized Controlled Trial | Research Support, Non-U.S. Gov't",,2008-02-28,0033-3158,,,"Adolescent | Adult | Attention / drug effects | Cognition / drug effects | Cross-Over Studies | Dose-Response Relationship, Drug | Double-Blind Method | Drug Interactions | Ethanol / blood | Ethanol / pharmacology | Female | Humans | Male | Mental Recall / drug effects | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Neuropsychological Tests | Orientation / drug effects | Pattern Recognition, Visual / drug effects | Problem Solving / drug effects | Psychomotor Performance / drug effects",,,,10.1007/s00213-008-1279-4,CommentIn PMID:18751682 Psychopharmacology (Berl). 2008 Oct;200(2):305-6. doi: 10.1007/s00213-008-1279-4.,,,eng,
10.1007/s00213-008-1129-4,,,Mismatch negativity generation in the human 5HT2A agonist and NMDA antagonist model of psychosis,2008,Karsten Heekeren; Jörg Daumann; Anna Neukirch; Carsten Stock; Wolfram Kawohl; Christine Norra; Till Dino Waberski; Euphrosyne Gouzoulis‐Mayfrank,Psychopharmacology,"Comparative Study | Journal Article | Randomized Controlled Trial | Research Support, Non-U.S. Gov't",,2008-05-18,0033-3158,,,"Adult | Attention / drug effects | Auditory Perception / drug effects | Brain Mapping | Cerebral Cortex / drug effects | Contingent Negative Variation / drug effects | Cross-Over Studies | Dose-Response Relationship, Drug | Double-Blind Method | Electroencephalography / drug effects | Excitatory Amino Acid Antagonists / pharmacology | Female | Humans | Inhibition, Psychological | Ketamine / pharmacology | Male | Middle Aged | N,N-Dimethyltryptamine / pharmacology | Orientation / drug effects | Pattern Recognition, Visual / drug effects | Psychomotor Performance / drug effects | Psychoses, Substance-Induced / physiopathology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Reflex, Startle / drug effects | Serotonin 5-HT2 Receptor Agonists | Serotonin Receptor Agonists / pharmacology | Signal Processing, Computer-Assisted",,,,,,,,eng,
10.1007/s00213-010-2102-6,,,The effects of NMDA receptor antagonists on attentional set-shifting task performance in mice,2010,Tomasz Kos; Agnieszka Nikiforuk; Dominik Rafa; Piotr Popik,Psychopharmacology,"Journal Article | Research Support, Non-U.S. Gov't",,2010-12-16,0033-3158,1432-2072,,"Animals | Attention / drug effects | Cognition / drug effects | Discrimination, Psychological / drug effects | Dose-Response Relationship, Drug | Habituation, Psychophysiologic / drug effects | Imidazoles / pharmacology | Indoles / pharmacology | Ketamine / pharmacology | Male | Mice | Mice, Inbred C57BL | Phenols / pharmacology | Piperidines / pharmacology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Reward | Schizophrenic Psychology | Set, Psychology",,,,,,,,eng,
10.1007/s00213-016-4325-7,,,Group II mGlu receptor antagonist LY341495 enhances the antidepressant-like effects of ketamine in the forced swim test in rats.,2016,Podkowa K; Pochwat B; Brański P; Pilc A; Pałucha-Poniewiera A,Psychopharmacology,Journal Article,,2016-06-11,0033-3158,1432-2072,,"Amino Acids / pharmacology | Animals | Antidepressive Agents / pharmacology | Behavior, Animal / drug effects | Blotting, Western | Depression / drug therapy | Drug Synergism | Excitatory Amino Acid Antagonists / pharmacology | Ketamine / pharmacology | Male | Rats | Rats, Sprague-Dawley | Receptors, Metabotropic Glutamate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate | Signal Transduction | Swimming | TOR Serine-Threonine Kinases / drug effects | TOR Serine-Threonine Kinases / metabolism | Xanthenes / pharmacology",Antidepressant | Depression | Forced swim test | Ketamine | LY341495 | Metabotropic glutamate receptor | mTOR,,,,,,,eng,
10.1007/s00213-022-06098-5,,,The role of serotonin neurotransmission in rapid antidepressant actions,2022,Alan L. Pehrson; Dominic Roberts; Ayaz Khawaja; R. McNair,Psychopharmacology,Journal Article | Review,,2022-03-25,0033-3158,1432-2072,,Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Brain-Derived Neurotrophic Factor | Glycogen Synthase Kinase 3 beta | Ketamine / pharmacology | Ketamine / therapeutic use | Serotonin | Synaptic Transmission,5-HT1A | 5-HT1B | 5-HT2A | 5-HT4 | Antidepressant | GSK-3β | Hallucinogen | Ketamine | Serotonin,,,,,,,eng,
10.1007/s00213-022-06121-9,,,Pharmacological modelling of dissociation and psychosis: an evaluation of the Clinician Administered Dissociative States Scale and Psychotomimetic States Inventory during nitrous oxide ('laughing gas')-induced anomalous states.,2022,Piazza GG; Iskandar G; Hennessy V; Zhao H; Walsh K; McDonnell J; Terhune DB; Das RK; Kamboj SK,Psychopharmacology,Journal Article,,2022-03-26,0033-3158,1432-2072,,"Anesthetics, Dissociative | Bayes Theorem | Dissociative Disorders / chemically induced | Dissociative Disorders / diagnosis | Humans | Ketamine | Nitrous Oxide / adverse effects | Psychotic Disorders | Receptors, N-Methyl-D-Aspartate",CADSS | Dissociation | Dissociative anaesthetic | Glutamate | Ketamine | NMDA | Nitrous oxide | Psychosis | Psychotomimesis,Wellcome Trust,,,,,,eng,
10.1007/s00213-023-06410-x,,,Antidepressant effects of novel positive allosteric modulators of Trk-receptor mediated signaling – a potential therapeutic concept?,2023,Nather Madjid; Veronica Lidell; Gunnar Nordvall; Maria Lindskog; Sven Ove Ögren; Pontus Forsell; Johan Sandin,Psychopharmacology,Journal Article,,2023-07-03,0033-3158,1432-2072,,"Rats | Animals | Fluoxetine / pharmacology | Brain-Derived Neurotrophic Factor / metabolism | Major Depressive Disorder / drug therapy | Ketamine / pharmacology | Antidepressive Agents / pharmacology | Receptor, trkB / metabolism",BDNF | Fluoxetine | Ketamine | MDD | Mice | Positive allosteric modulator | TrkB,,,,,,,eng,
10.1007/s00213-023-06479-4,,,Effects of a dissociative drug on fronto-limbic resting-state functional connectivity in individuals with posttraumatic stress disorder: a randomized controlled pilot study.,2024,Danböck SK; Duek O; Ben-Zion Z; Korem N; Amen SL; Kelmendi B; Wilhelm FH; Levy I; Harpaz-Rotem I,Psychopharmacology,Randomized Controlled Trial | Journal Article,,2023-10-23,0033-3158,1432-2072,,"Humans | Stress Disorders, Post-Traumatic / diagnostic imaging | Stress Disorders, Post-Traumatic / drug therapy | Stress Disorders, Post-Traumatic / pathology | Ketamine / pharmacology | Midazolam | Pilot Projects | Amygdala | Magnetic Resonance Imaging / methods",Biomarker | Connectivity | Dissociation | Imaging | Ketamine | PTSD | Trauma,NCATS NIH HHS | Austrian Science Fund FWF,UL1 TR001863 | W 1233,,,,,eng,
10.1007/s00213-024-06720-8,,,Ketamine differentially affects implicit and explicit memory processes in rats.,2025,Yuksel B; Sen Z; Unal G,Psychopharmacology,Journal Article,,2024-11-26,0033-3158,1432-2072,,"Animals | Ketamine / pharmacology | Ketamine / administration & dosage | Rats, Wistar | Fear / drug effects | Male | Rats | Extinction, Psychological / drug effects | Conditioning, Classical / drug effects | Memory / drug effects | Excitatory Amino Acid Antagonists / pharmacology | Spatial Memory / drug effects | Antidepressive Agents / pharmacology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Maze Learning / drug effects",Explicit memory | Fear conditioning | Implicit memory | Ketamine | Morris water maze,Boğaziçi Üniversitesi,24B07S1,,,,,eng,
10.1007/s00213-024-06724-4,,,"Depression-like effects induced by chronic unpredictable mild stress in mice are rapidly reversed by a partial negative allosteric modulator of mGlu(5) receptor, M-5MPEP.",2025,Pałucha-Poniewiera A; Bobula B; Rafało-Ulińska A; Kaczorowska K,Psychopharmacology,Journal Article,,2024-11-30,0033-3158,1432-2072,,"Animals | Receptor, Metabotropic Glutamate 5 / metabolism | Receptor, Metabotropic Glutamate 5 / drug effects | Stress, Psychological / drug therapy | Stress, Psychological / metabolism | Male | Mice | Antidepressive Agents / pharmacology | Antidepressive Agents / administration & dosage | Depression / drug therapy | Depression / metabolism | Disease Models, Animal | Allosteric Regulation / drug effects | Hippocampus / drug effects | Hippocampus / metabolism | Pyridines / pharmacology | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | TOR Serine-Threonine Kinases / metabolism | Long-Term Potentiation / drug effects | Receptor, trkB / metabolism | Protein-Tyrosine Kinases / metabolism",Antidepressant | CUMS | LTP | M-5MPEP | RAAD | Sucrose preference | TrkB | eEF2 | mGlu5 receptor | mTOR,Narodowe Centrum Nauki,2017/27/B/NZ7/01873,,,,,eng,
10.1007/s00221-025-07085-w,,,Role of CaMKII/CREB pathway in rapid-antidepressant-like effect: comparison of ketamine with rapastinel.,2025,Özler C; Özkan E; Shomalizadeh N; Kesibi J; Sapancı S; Salman FA; Uçar EA; Gürsoy-Özdemir Y,Experimental brain research,Journal Article | Comparative Study,,2025-05-04,0014-4819,1432-1106,,"Animals | Ketamine / pharmacology | Male | Antidepressive Agents / pharmacology | Calcium-Calmodulin-Dependent Protein Kinase Type 2 / metabolism | Calcium-Calmodulin-Dependent Protein Kinase Type 2 / antagonists & inhibitors | Mice | Brain-Derived Neurotrophic Factor / metabolism | Stress, Psychological / metabolism | Stress, Psychological / drug therapy | Cyclic AMP Response Element-Binding Protein / metabolism | Signal Transduction / drug effects | Disease Models, Animal | Behavior, Animal / drug effects | Depression / drug therapy | Depression / metabolism | Hippocampus / drug effects | Hippocampus / metabolism",BDNF | CaMKII/CREB | Chronic stress | Depression | Ketamine | Rapastinel | Synaptic plasticity,Koç Üniversitesi,SF.00145,,,,,eng,
10.1007/s00406-024-01898-6,,,Synaptic basis of rapid antidepressant action.,2025,Kavalali ET; Monteggia LM,European archives of psychiatry and clinical neuroscience,Journal Article | Review,,2024-09-29,0940-1334,1433-8491,,Humans | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Neuronal Plasticity / drug effects | Neuronal Plasticity / physiology | Animals | Ketamine / pharmacology | Ketamine / therapeutic use | Synapses / drug effects | Synapses / physiology,BDNF | Homeostatic plasticity | Ketamine | Spontaneous neurotransmission | Spontaneous neurotransmitter release | Synaptic plasticity | TrkB,NIMH NIH HHS | NICHD NIH HHS,R01 MH066198 | MH070727 | R01 MH070727 | MH066198 | P50 HD103537,,,,,eng,
10.1007/s00441-015-2332-3,,,Regional brain dysregulation of Ca(2+)-handling systems in ketamine-induced rat model of experimental psychosis.,2016,Lisek M; Boczek T; Ferenc B; Zylinska L,Cell and tissue research,Journal Article,,2015-12-21,0302-766X,1432-0878,,"Animals | Behavior, Animal | Brain / metabolism | Brain / pathology | Calcium / metabolism | Cell Separation | Cell Survival | Disease Models, Animal | Gene Expression Regulation | Homeostasis | Intracellular Space / metabolism | Ketamine | Male | Motor Activity | Psychotic Disorders / metabolism | Psychotic Disorders / pathology | RNA, Messenger / genetics | RNA, Messenger / metabolism | Rats, Wistar | Real-Time Polymerase Chain Reaction",Calcium homeostasis | Experimental psychosis | Ketamine | NMDA receptor | Rat,,,10.1007/s00441-016-2365-2,ErratumIn PMID:26846111 Cell Tissue Res. 2016 Mar;363(3):825. doi: 10.1007/s00441-016-2365-2.,,true,eng,
10.1007/s10571-025-01582-w,,,Sex-Specific Neuropsychiatric Effects of Subanesthetic Ketamine Exposure in Pregnant Mice and Their Offspring.,2025,Lin WS; Wang PY; Yeh SR; Lai Z; Lee AC; Fan SZ,Cellular and molecular neurobiology,Journal Article,,2025-07-19,0272-4340,1573-6830,,"Animals | Ketamine / pharmacology | Female | Pregnancy | Male | Mice, Inbred C57BL | Prenatal Exposure Delayed Effects / psychology | Prenatal Exposure Delayed Effects / pathology | Prenatal Exposure Delayed Effects / chemically induced | Mice | Hippocampus / drug effects | Hippocampus / pathology | Hippocampus / metabolism | Sex Characteristics | Receptors, N-Methyl-D-Aspartate / metabolism | Behavior, Animal / drug effects | Neurogenesis / drug effects | Depression | Dendritic Spines / drug effects | Dendritic Spines / metabolism | Anxiety",Anxiety | Depression | Hippocampus | Ketamine | N-methyl-D-aspartate receptor,"Ministry of Science and Technology, Taiwan",107-2410-H-002-118,,,,,eng,
10.1007/s10974-025-09720-z,,,A single S-ketamine injection enhances mTOR signaling in rat skeletal muscle.,2026,Andersen Skriver S; Arjmand S; Breenfeldt Andersen A; Wegener G; Hansen M,Journal of muscle research and cell motility,Journal Article,,2026-01-06,0142-4319,1573-2657,,"Animals | Ketamine / pharmacology | Ketamine / administration & dosage | TOR Serine-Threonine Kinases / metabolism | Muscle, Skeletal / metabolism | Muscle, Skeletal / drug effects | Rats | Signal Transduction / drug effects | Female | Muscle Proteins / metabolism",Animal data | Antidepressants | MTOR-signaling | Protein metabolism | Skeletal muscle.,,,,,,,eng,
10.1007/s11064-022-03772-0,,,"The Missing Piece? A Case for Microglia’s Prominent Role in the Therapeutic Action of Anesthetics, Ketamine, and Psychedelics",2022,Jared VanderZwaag; Torin Halvorson; Kira Dolhan; Eva Šimončičová; Benneth Ben‐Azu; Marie‐Ève Tremblay,Neurochemical research,Journal Article | Review,,2022-11-03,0364-3190,1573-6903,,Humans | Hallucinogens / pharmacology | Hallucinogens / therapeutic use | Ketamine / pharmacology | Ketamine / therapeutic use | Microglia | Lysergic Acid Diethylamide / pharmacology | Lysergic Acid Diethylamide / therapeutic use | Anesthetics,Anesthetics | Depression | Ketamine | Microglia | Plasticity | Psychedelics,ERA-NET Neuron,JTC2017: MicroSynDep,,,,,eng,
10.1007/s11419-017-0366-9,,,The psychoactive drug 25B-NBOMe recapitulates rhabdomyolysis in zebrafish larvae.,2017,Kawahara G; Maeda H; Kikura-Hanajiri R; Yoshida KI; Hayashi YK,Forensic toxicology,Journal Article,,2017-04-18,1860-8965,,,,25B-NBOMe intoxication | 5-HT2A receptor | Animal model | New psychoactive substance | Rhabdomyolysis mechanism | Zebrafish larvae,,,,,,,eng,
10.1007/s12031-022-02077-9,,,"Lipopolysaccharide Exacerbates Ketamine-Induced Psychotic-Like Behavior, Oxidative Stress, and Neuroinflammation in Mice: Ameliorative Effect of Diosmin.",2023,Eneni AO; Ben-Azu B; Ajayi AM; Aderibibge AO,Journal of molecular neuroscience : MN,Journal Article,,2023-01-18,0895-8696,1559-1166,,Humans | Mice | Animals | Ketamine / pharmacology | Lipopolysaccharides / toxicity | Diosmin / pharmacology | Diosmin / therapeutic use | Neuroinflammatory Diseases | Tumor Necrosis Factor-alpha / pharmacology | Interleukin-6 | Nitrites | Oxidative Stress | Superoxide Dismutase / metabolism,Diosmin | Ketamine | Lipopolysaccharide | Neuroinflammation | Oxidative stress | Schizophrenia,,,,,,,eng,
10.1007/s12031-024-02234-2,,,Sex-Specific ADNP/NAP (Davunetide) Regulation of Cocaine-Induced Plasticity.,2024,Toren Y; Ziv Y; Sragovich S; McKinney RA; Barak S; Shazman S; Gozes I,Journal of molecular neuroscience : MN,Journal Article,,2024-09-10,0895-8696,1559-1166,,"Animals | Male | Mice | Cocaine / pharmacology | Female | Nerve Tissue Proteins / genetics | Nerve Tissue Proteins / metabolism | Neuronal Plasticity / drug effects | Hippocampus / metabolism | Hippocampus / drug effects | Homeodomain Proteins / genetics | Homeodomain Proteins / metabolism | Mice, Inbred C57BL | Nucleus Accumbens / metabolism | Nucleus Accumbens / drug effects | Dendritic Spines / drug effects | Dendritic Spines / metabolism | Ventral Tegmental Area / metabolism | Ventral Tegmental Area / drug effects | Oligopeptides",ADNP | Addiction | Cocaine | NAP | Sex differences | Structural plasticity,,,,,,,eng,
10.1007/s12035-018-1364-6,,,Cortical Excitability and Activation of TrkB Signaling During Rebound Slow Oscillations Are Critical for Rapid Antidepressant Responses.,2019,Kohtala S; Theilmann W; Rosenholm M; Penna L; Karabulut G; Uusitalo S; Järventausta K; Yli-Hankala A; Yalcin I; Matsui N,Molecular neurobiology,Journal Article,,2018-10-04,0893-7648,1559-1182,,"Anesthetics / pharmacology | Animals | Antidepressive Agents / pharmacology | Biomarkers / metabolism | Cerebral Cortex / drug effects | Cerebral Cortex / metabolism | Dose-Response Relationship, Drug | Electroencephalography | Flurothyl / pharmacology | Glycogen Synthase Kinase 3 beta / metabolism | Homeostasis / drug effects | Ketamine / pharmacology | Medetomidine / pharmacology | Mice, Inbred C57BL | Neurons / drug effects | Neurons / metabolism | Nitrous Oxide / pharmacology | Receptor, trkB / metabolism | Signal Transduction / drug effects | Up-Regulation / drug effects",Cortical excitation | Electroencephalogram | Ketamine | Nitrous oxide | Rapid-acting antidepressant | Sedation,Academy of Finland,"276333, 284569, 305195, 312664",,,,,eng,
10.1007/s12035-019-01644-3,,,Increasing Adiponergic System Activity as a Potential Treatment for Depressive Disorders.,2019,Formolo DA; Lee TH; Yau SY,Molecular neurobiology,Journal Article | Review,,2019-05-28,0893-7648,1559-1182,,"Adiponectin / blood | Adiponectin / therapeutic use | Animals | Antidepressive Agents / blood | Antidepressive Agents / therapeutic use | Major Depressive Disorder / blood | Major Depressive Disorder / diagnosis | Major Depressive Disorder / drug therapy | Humans | Receptors, Adiponectin / blood | Treatment Outcome",AdipoRon | Adiponectin | Adiponectin receptors | Depression | Hippocampus | Neuroplasticity,General Research Council | Hong Kong Research Council Early Career Scheme | National Natural Science Foundation Of China,PolyU 151000/18M | 25100217 | 81801346,,,,,eng,
10.1007/s12035-021-02352-7,,,Metaplastic Effects of Ketamine and MK-801 on Glutamate Receptors Expression in Rat Medial Prefrontal Cortex and Hippocampus,2021,Alessandro Piva; Lucia Caffino; Francesca Mottarlini; Nicholas Pintori; Fernando Castillo Díaz; Fabio Fumagalli; Cristiano Chiamulera,Molecular neurobiology,Journal Article,,2021-03-15,0893-7648,1559-1182,,"Animals | Dizocilpine Maleate / pharmacology | Excitatory Amino Acid Antagonists / pharmacology | Excitatory Amino Acid Transporter 2 / biosynthesis | Gene Expression | Hippocampus / drug effects | Hippocampus / metabolism | Ketamine / pharmacology | Male | Neuronal Plasticity / drug effects | Neuronal Plasticity / physiology | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | Rats | Rats, Sprague-Dawley | Receptors, Glutamate / biosynthesis",Hippocampus | Ketamine | MK-801 | Medial prefrontal cortex | Metaplasticity,,,,,,,eng,
10.1007/s44446-026-00079-x,,,Targeting beta-2 adrenergic receptor attenuates schizophrenia-like behavioral effects induced by ketamine in mice: cAMP/PKA/BDNF-PEA-3 and RIM-1α signaling pathways involvement.,2026,Heikal MM; Mohamed AF; Rasheed NOA; El-Tanbouly DM; Nassar NN,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,Journal Article,,2026-04-29,1319-0164,,,,CAMP/PKA/BDNF | Formoterol | Ketamine | Neuro-inflammation | Schizophrenia | Synaptic plasticity,,,,,,,eng,
10.1016/j.biopsych.2021.03.014,,,"Ketamine for a Boost of Neural Plasticity: How, but Also When?",2021,Hao Wu; N. Savalia; A. Kwan,Biological psychiatry,JournalArticle,,2021-06-01,0006-3223,1873-2402,Elsevier BV,Antidepressive Agents / pharmacology | Glutamic Acid / pharmacology | Ketamine / pharmacology | Neuronal Plasticity / drug effects | Prefrontal Cortex,Medicine | external | s2-fos-model,NIGMS | National Institute of Mental Health,R01 MH112750 | R01 MH121848 | T32 GM007205,10.1016/j.biopsych.2020.12.022,CommentOn PMID:33637303 Biol Psychiatry. 2021 Jun 1;89(11):1096-1105. doi: 10.1016/j.biopsych.2020.12.022.,,,en,26853690a88f746bd9a0b3963e631cefb881383b
