# triage-filtered queue generated at 2026-04-21T15:16:35.013578+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1007/978-1-60761-941-3_26,DOI,5-HT2A,Ocular Hypotension: Involvement of Serotonergic 5-HT2 Receptors,2010,
10.1007/978-3-030-12281-2_24,Ketamine,NMDA receptor,Ketamine and NMDA-Receptor Antagonists,2019,
10.1007/978-3-319-49795-2_4,Ketamine,NMDA receptor,Rapid Antidepressant Activity of Ketamine Beyond NMDA Receptor,2017,
10.1007/978-981-15-2902-3_10,Ketamine,NMDA receptor,Distinct Roles of NMDA Receptor GluN2 Subunits in the Effects of Ketamine and Its Enantiomers,2020,
10.1007/978-981-15-2902-3_4,Ketamine,NMDA receptor,Site of Ketamine Action on the NMDA Receptor,2020,
10.1007/BF02245000,Ibogaine,NMDA receptor,The putative anti-addictive drug ibogaine is a competitive inhibitor of [3H]MK-801 binding to the NMDA receptor complex,1994,
10.1007/BF02246047,DOI,5-HT2A,Acute immobilization stress reduces (±DOI)-induced 5-HT2A receptor-mediated head shakes in rats,1995,
10.1007/BF02246075,LSD,5-HT2C,Role of 5-HT2A and 5-HT2C receptors in the stimulus effects of hallucinogenic drugs II: reassessment of LSD false positives,1995,
10.1007/BF02246076,LSD,5-HT2C,The role of the 5-HT2A and 5-HT2C receptors in the stimulus effects of hallucinogenic drugs III: the mechanistic basis for supersensitivity to the LSD stimulus following serotonin depletion,1995,
10.1007/bf02245187,DOI,5-HT2A,"Evidence that 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane (DOI)-induced hyperthermia in rats is mediated by stimulation of 5-HT2A receptors",1995,
10.1007/bf02805983,DOI,5-HT2A,Circadian rhythm in the responsiveness of central 5-HT2A receptor to DOI in rats,1996,
10.1007/s00213-003-1765-7,MDMA,DAT (SLC6A3),MDMA ?ecstasy? alters hyperactive and perseverative behaviors in dopamine transporter knockout mice,2004,
10.1007/s00213-006-0495-z,MDMA,SERT (SLC6A4),"The effect of polymorphism at the serotonin transporter gene on decision-making, memory and executive function in ecstasy users and controls",2006,
10.1007/s00213-006-0566-1,5-MeO-DMT,5-HT1A,The roles of 5-HT1A and 5-HT2 receptors in the effects of 5-MeO-DMT on locomotor activity and prepulse inhibition in rats,2006,
10.1007/s00213-009-1718-x,LSD,5-HT2A,LSD but not lisuride disrupts prepulse inhibition in rats by activating the 5-HT2A receptor,2009,
10.1007/s00213-010-1836-5,Salvinorin A,kappa opioid receptor (OPRK1),Depressive-like effects of the kappa opioid receptor agonist salvinorin A are associated with decreased phasic dopamine release in the nucleus accumbens,2010,
10.1007/s00213-014-3451-3,Ketamine,NMDA receptor,Dissociable effects of the noncompetitive NMDA receptor antagonists ketamine and MK-801 on intracranial self-stimulation in rats,2014,
10.1007/s00213-014-3658-3,DMT,5-HT2A,"The role of 5-HT2A, 5-HT2C and mGlu2 receptors in the behavioral effects of tryptamine hallucinogens N,N-dimethyltryptamine and N,N-diisopropyltryptamine in rats and mice",2014,
10.1007/s00213-016-4396-5,MDMA,SERT (SLC6A4),The effects of ecstasy on neurotransmitter systems: a review on the findings of molecular imaging studies,2016,
10.1007/s00213-018-4880-1,MDMA,SERT (SLC6A4),A genetic reduction in the serotonin transporter differentially influences MDMA and heroin induced behaviours,2018,
10.1007/s00213-018-5042-1,LSD,5-HT2A,The neuropharmacology of sleep paralysis hallucinations: serotonin 2A activation and a novel therapeutic drug,2018,
10.1007/s00213-023-06474-9,Psilocybin,5-HT2A,"Effects of psilocybin, the 5-HT2A receptor agonist TCB-2, and the 5-HT2A receptor antagonist M100907 on visual attention in male mice in the continuous performance test",2023,
10.1007/s00221-013-3636-8,DOI,5-HT2A,Multiple conformations of 5-HT2A and 5-HT2C receptors in rat brain: an autoradiographic study with [125I](±)DOI,2013,
10.1007/s00228-017-2392-2,MDMA,NET (SLC6A2),No major role of norepinephrine transporter gene variations in the cardiostimulant effects of MDMA,2017,
10.1007/s00406-023-01571-4,S-ketamine,NMDA receptor,Esmethadone-HCl (REL-1017): a promising rapid antidepressant,2023,
10.1007/s00406-023-01571-4,R-ketamine,NMDA receptor,Esmethadone-HCl (REL-1017): a promising rapid antidepressant,2023,
10.1007/s00406-023-01699-3,Psilocybin,5-HT2A,Psilocybin does not induce the vulnerability marker HSP70 in neurons susceptible to Olney’s lesions,2023,
10.1007/s00406-024-01875-z,S-ketamine,NMDA receptor,Advancing past ketamine: emerging glutamatergic compounds for the treatment of depression,2024,
10.1007/s00508-017-1299-3,S-ketamine,NMDA receptor,S(+)-ketamine,2018,
10.1007/s00702-013-1024-y,DMT,Sigma-1 receptor (SIGMAR1),"A possibly sigma-1 receptor mediated role of dimethyltryptamine in tissue protection, regeneration, and immunity",2013,
10.1007/s10354-019-0695-x,S-ketamine,NMDA receptor,Ketamin: Einsatz bei chronischen Schmerzen und Depression,2019,
10.1007/s11481-021-10025-4,Salvinorin A,kappa opioid receptor (OPRK1),Intranasal Salvinorin A Improves Long-term Neurological Function via Immunomodulation in a Mouse Ischemic Stroke Model,2021,
10.1007/s12013-024-01499-z,Ketamine,NMDA receptor,"Structural Insight on Interaction of NMDA receptor with fentanyl, ketamine and Isoflurane: A Computational Study to Unravel Mode of Binding",2024,
10.1007/s12640-017-9759-0,S-ketamine,NMDA receptor,Comparison of the Psychopharmacological Effects of Tiletamine and Ketamine in Rodents,2017,
10.1007/s12640-017-9831-9,MDMA,SERT (SLC6A4),Neurochemical and Neurotoxic Effects of MDMA (Ecstasy) and Caffeine After Chronic Combined Administration in Mice,2017,
10.1007/s40263-023-01044-1,LSD,5-HT2A,The effects of Lysergic Acid Diethylamide (LSD) on the Positive Valence Systems: A Research Domain Criteria (RDoC)-Informed Systematic Review,2023,
10.1007/s43440-025-00817-3,Psilocin,5-HT2A,The effect of psilocin on neurotransmitters release in the claustrum and on rat behavior,2026,
10.1016/0006-8993(96)00411-8,Ketamine,NMDA receptor,PCP and ketamine inhibit non-NMDA glutamate receptor mediatedhsp70 induction,1996,
10.1016/0014-2999(95)00535-8,DOI,5-HT2A,Antagonism by the 5-HT2A/C receptor agonist DOI of raclopride-induced catalepsy in the rat,1995,
10.1016/0014-2999(96)00304-4,Ibogaine,NMDA receptor,Structurally modified ibogaine analogs exhibit differing affinities for NMDA receptors,1996,
10.1016/0028-3908(96)84107-4,Ibogaine,NMDA receptor,Ibogaine block of the NMDA receptor: In vitro and in vivo studies,1996,
10.1016/0197-0186(94)90009-4,LSD,5-HT2A,Autoradiographic comparison of [125I]LSD-labeled 5-HT2A receptor distribution in rat and guinea pig brain,1994,
10.1016/0304-3940(95)11608-y,Ibogaine,NMDA receptor,Properties of ibogaine and its principal metabolite (12-hydroxyibogamine) at the MK-801 binding site of the NMDA receptor complex,1995,
10.1016/0304-3959(94)00170-J,R-ketamine,NMDA receptor,"Effect of ketamine, an NMDA receptor inhibitor, in acute and chronic orofacial pain",1995,
10.1016/0361-9230(96)00039-1,Ibogaine,NMDA receptor,The effect of ibogaine on sigma- and NMDA-receptor- mediated release of [3H]dopamine,1996,
10.1016/0893-133x(95)00137-3,Ketamine,NMDA receptor,NMDA Receptor Function and Human Cognition: The Effects of Ketamine in Healthy Volunteers,1996,
10.1016/B978-0-12-420118-7.00012-3,Salvinorin A,kappa opioid receptor (OPRK1),Salvinorin A Analogs and Other Kappa-Opioid Receptor Compounds as Treatments for Cocaine Abuse,2014,
10.1016/S0893-133X(99)00005-6,LSD,5-HT2C,Agonist-Directed Signaling of Serotonin 5-HT2C Receptors Differences Between Serotonin and Lysergic Acid Diethylamide (LSD),1999,
10.1016/S0924-9338(15)30017-1,Psilocybin,5-HT2A,"The Effect of 5-HT2A/1a Agonist Treatment On Social Cognition, Empathy, and Social Decision-making",2015,
10.1016/j.ajp.2025.104502,S-ketamine,NMDA receptor,Advances in the study of NMDA receptors in depression pathogenesis and the antidepressant efficacy of their antagonists,2025,
10.1016/j.ajpath.2015.12.014,Ketamine,NMDA receptor,Ketamine-Induced Apoptosis in Normal Human Urothelial Cells,2016,
10.1016/j.bbr.2005.07.013,DOI,5-HT2A,Implication of 5-HT2A subtype receptors in DOI activity in the four-plates test–retest paradigm in mice,2005,
10.1016/j.bbr.2009.05.021,DOI,5-HT2A,Effects of acute intra-cerebral administration of the 5-HT2A/C receptor ligands DOI and ketanserin on impulse control in rats,2009,
10.1016/j.bbr.2013.11.022,DOI,5-HT2A,D-serine deficiency attenuates the behavioral and cellular effects induced by the hallucinogenic 5-HT2A receptor agonist DOI,2013,
10.1016/j.bbr.2014.12.014,LSD,5-HT2A,Tolerance to LSD and DOB induced shaking behaviour: Differential adaptations of frontocortical 5-HT2A and glutamate receptor binding sites,2014,
10.1016/j.bbr.2020.112861,DOI,5-HT2A,Acute serotonin 2A receptor activation impairs behavioral flexibility in mice,2020,
10.1016/j.bbr.2020.113093,Psilocybin,5-HT2A,"Investigating the role of 5-HT2A and 5-HT2C receptor activation in the effects of psilocybin, DOI, and citalopram on marble burying in mice",2020,
10.1016/j.bbrc.2013.11.104,DOI,5-HT2A,Hallucinogenic 5-HT2AR agonists LSD and DOI enhance dopamine D2R protomer recognition and signaling of D2-5-HT2A heteroreceptor complexes,2013,
10.1016/j.bcp.2020.113935,Ketamine,NMDA receptor,Molecular mechanisms of the rapid-acting and long-lasting antidepressant actions of (R)-ketamine,2020,
10.1016/j.biopha.2022.113612,Psilocin,5-HT1A,"Serotonin 5-HT2A, 5-HT2c and 5-HT1A receptor involvement in the acute effects of psilocybin in mice. In vitro pharmacological profile and modulation of thermoregulation and head-twich response",2022,
10.1016/j.biopha.2025.118199,R-ketamine,NMDA receptor,Can ketamine therapy overcome treatment-resistant depression in Alzheimer's disease and older adults? Preclinical and clinical evidence,2025,
10.1016/j.biopsych.2010.10.002,Psilocybin,5-HT2A,The 5-HT2A/1A Agonist Psilocybin Disrupts Modal Object Completion Associated with Visual Hallucinations,2010,
10.1016/j.bmc.2008.12.012,Salvinorin A,kappa opioid receptor (OPRK1),Modification of the furan ring of salvinorin A: Identification of a selective partial agonist at the kappa opioid receptor,2008,
10.1016/j.bmcl.2011.11.128,Salvinorin A,kappa opioid receptor (OPRK1),Differential signaling properties at the kappa opioid receptor of 12-epi-salvinorin A and its analogues,2011,
10.1016/j.bmcl.2013.03.111,Salvinorin A,kappa opioid receptor (OPRK1),Kappa-opioid receptor-selective dicarboxylic ester-derived salvinorin A ligands,2013,
10.1016/j.bmcl.2018.01.055,Salvinorin A,kappa opioid receptor (OPRK1),O6C-20-nor-salvinorin A is a stable and potent KOR agonist,2018,
10.1016/j.bpj.2018.11.1336,Ketamine,NMDA receptor,Uncoupling NMDA Receptor Mechanism of Ketamine Block and Proton Inhibition,2019,
10.1016/j.bpj.2022.11.2161,Ketamine,NMDA receptor,"Kinetic mechanism of NMDA receptor inhibition by the ketamine metabolite 2R,6R-hydroxynorketamine",2023,
10.1016/j.bpsc.2024.01.007,LSD,5-HT2A,"Serotonergic Psychedelics: A Comparative Review of Efficacy, Safety, Pharmacokinetics, and Binding Profile",2024,
10.1016/j.brainres.2011.01.057,DOI,5-HT2A,A pronociceptive role for the 5-HT2 receptor on spinal nociceptive transmission: An in vivo electrophysiological study in the rat,2011,
10.1016/j.brainres.2016.02.024,Salvinorin A,kappa opioid receptor (OPRK1),Highly selective non-opioid kappa opioid receptor (KOR) agonist salvinorin A protects against forebrain ischemia-induced brain injury in rats,2016,
10.1016/j.brainres.2024.149425,DMT,5-HT2A,Dimethyltryptamine (DMT) and ibogaine elicit membrane effects in HEK cells transiently transfected with the human 5-HT2A receptor,2024,
10.1016/j.cub.2018.07.083,LSD,5-HT2A,Whole-Brain Multimodal Neuroimaging Model Using Serotonin Receptor Maps Explains Non-linear Functional Effects of LSD,2018,
10.1016/j.cub.2025.11.031,Psilocybin,5-HT2A,Psilocybin induces sex- and context-specific recruitment of the stress axis,2025,
10.1016/j.dmd.2025.100086,2C-B,5-HT2A,"Liquid chromatography–tandem mass spectrometry–based pharmacokinetic and metabolic analysis of 4-bromo-2,5-dimethoxyphenethylamine and its metabolites in human plasma",2025,
10.1016/j.drugalcdep.2015.07.483,Salvinorin A,kappa opioid receptor (OPRK1),"Immediate and persistent effects of Salvinorin A on the kappa opioid receptor in rodents, monitored in vivo with pet",2015,
10.1016/j.drugalcdep.2016.08.297,Salvinorin A,kappa opioid receptor (OPRK1),Kappa opioid receptor agonist 16-ethynyl salvinorin a attenuates the rewarding effects of cocaine in the progressive ratio model in rats with fewer side-effects,2017,
10.1016/j.drugalcdep.2023.110446,5-MeO-DMT,5-HT1A,Involvement of 5-HT2A and 5-HT1A Receptors in the Pharmacological Effects of 5-MeO-DMT Analogs in Male C57BL/6J Mice,2024,
10.1016/j.ebr.2019.100326,Ketamine,NMDA receptor,Ketamine use in refractory status epilepticus associated with anti-NMDA receptor antibody encephalitis,2019,
10.1016/j.ejmech.2014.07.077,Salvinorin A,kappa opioid receptor (OPRK1),Michael acceptor approach to the design of new salvinorin A-based high affinity ligands for the kappa-opioid receptor,2014,
10.1016/j.ejphar.2003.12.025,MDMA,SERT (SLC6A4),MDMA- and p-chlorophenylalanine-induced reduction in 5-HT concentrations: effects on serotonin transporter densities,2004,
10.1016/j.ejphar.2012.12.024,MDMA,DAT (SLC6A3),Effects of a short-course MDMA binge on dopamine transporter binding and on levels of dopamine and its metabolites in adult male rats,2012,
10.1016/j.euroneuro.2020.09.589,Psilocybin,5-HT2A,P.804A single dose of psilocybin increases synaptic density and decreases 5-HT2A receptor density in the pig brain,2020,
10.1016/j.euroneuro.2020.11.013,Psilocybin,5-HT2A,"Effects of a single dose of psilocybin on behaviour, brain 5-HT2A receptor occupancy and gene expression in the pig",2020,
10.1016/j.euroneuro.2021.06.001,Psilocin,5-HT2A,Psilocybin-induced changes in brain network integrity and segregation correlate with plasma psilocin level and psychedelic experience,2021,
10.1016/j.heliyon.2021.e07784,MDMA,SERT (SLC6A4),"Induced fit, ensemble binding space docking and Monte Carlo simulations of MDMA ‘ecstasy’ and 3D pharmacophore design of MDMA derivatives on the human serotonin transporter (hSERT)",2021,
10.1016/j.ijpsycho.2008.05.397,Psilocybin,5-HT2A,Effects of the hallucinogenic 5-HT2A agonist psilocybin on object completion in humans,2008,
10.1016/j.isci.2024.109686,Psilocin,5-HT2A,Psilocybin induces acute anxiety and changes in amygdalar phosphopeptides independently from the 5-HT2A receptor,2024,
10.1016/j.jatmed.2024.07.001,Ketamine,NMDA receptor,Ketamine and its two enantiomers in anesthesiology and psychiatry: A historical review and future directions,2024,
10.1016/j.jatmed.2025.06.001,R-ketamine,NMDA receptor,Mechanism of antidepressant action of ketamine and differences between its two enantiomers,2025,
10.1016/j.jmgm.2009.12.008,Salvinorin A,kappa opioid receptor (OPRK1),CoMFA analyses of C-2 position Salvinorin A analogs at the kappa-opioid receptor provides insights into epimer selectivity,2010,
10.1016/j.jphs.2017.11.001,R-ketamine,NMDA receptor,Role of NMDA receptor GluN2D subunit in the antidepressant effects of enantiomers of ketamine,2017,
10.1016/j.jphs.2024.01.008,R-ketamine,NMDA receptor,"Loss of the sustained antidepressant-like effect of (2R,6R)-hydroxynorketamine in NMDA receptor GluN2D subunit knockout mice",2024,
10.1016/j.jpsychires.2016.10.023,Ketamine,NMDA receptor,Case series: Antidepressant effects of low-affinity and low-trapping NMDA receptor antagonists did not predict response to ketamine in seven subjects,2016,
10.1016/j.mec.2022.e00196,Psilocybin,5-HT2A,Development of an E. coli-based norbaeocystin production platform and evaluation of behavioral effects in rats,2022,
10.1016/j.neubiorev.2016.02.003,MDMA,SERT (SLC6A4),Meta-analysis of molecular imaging of serotonin transporters in ecstasy/polydrug users,2016,
10.1016/j.neubiorev.2018.11.004,MDMA,SERT (SLC6A4),Neuroimaging of chronic MDMA (“ecstasy”) effects: A meta-analysis,2018,
10.1016/j.neuint.2018.09.008,MDMA,SERT,“Polytox” synthetic cathinone abuse: A potential role for organic cation transporter 3 in combined cathinone-induced efflux,2018,
10.1016/j.neuint.2018.09.008,MDMA,SERT (SLC6A4),“Polytox” synthetic cathinone abuse: A potential role for organic cation transporter 3 in combined cathinone-induced efflux,2018,
10.1016/j.neulet.2007.09.037,MDMA,SERT (SLC6A4),"Acceleration of serotonin transporter transport-associated current by 3,4-methylenedioxymethanphetamine (MDMA) under acidic conditions",2007,
10.1016/j.neulet.2012.12.053,LSD,5-HT2A,Chronic treatment with LY341495 decreases 5-HT2A receptor binding and hallucinogenic effects of LSD in mice,2013,
10.1016/j.neulet.2013.01.034,Ketamine,NMDA receptor,The blockade of NMDA receptor ion channels by ketamine is enhanced in developing rat cortical neurons,2013,
10.1016/j.neuroimage.2009.07.072,MDMA,SERT (SLC6A4),Study on the neuroprotective effect of fluoxetine against MDMA-induced neurotoxicity on the serotonin transporter in rat brain using micro-PET,2009,
10.1016/j.neuroimage.2019.04.007,MDMA,SERT (SLC6A4),"Receptor-Enriched Analysis of functional connectivity by targets (REACT): A novel, multimodal analytical approach informed by PET to study the pharmacodynamic response of the brain under MDMA",2019,
10.1016/j.neuron.2024.06.028,Ketamine,NMDA receptor,Ketamine alleviates NMDA receptor hypofunction through synaptic trapping,2024,
10.1016/j.neuropharm.2011.04.001,5-MeO-DMT,5-HT1A,"Enhanced effects of amphetamine but reduced effects of the hallucinogen, 5-MeO-DMT, on locomotor activity in 5-HT1A receptor knockout mice: Implications for schizophrenia",2011,
10.1016/j.neuropharm.2011.04.007,MDMA,SERT (SLC6A4),Differential effects of cocaine and MDMA self-administration on cortical serotonin transporter availability in monkeys,2011,
10.1016/j.neuropharm.2014.07.016,Salvinorin A,kappa opioid receptor (OPRK1),Salvinorin A regulates dopamine transporter function via a kappa opioid receptor and ERK1/2-dependent mechanism,2014,
10.1016/j.neuropharm.2014.10.013,DMT,5-HT2A,"Potentiation of 5-methoxy-N,N-dimethyltryptamine-induced hyperthermia by harmaline and the involvement of activation of 5-HT1A and 5-HT2A receptors",2014,
10.1016/j.neuropharm.2015.07.037,Ketamine,NMDA receptor,"Antidepressant-like effects of ketamine, norketamine and dehydronorketamine in forced swim test: Role of activity at NMDA receptor",2015,
10.1016/j.neuropharm.2016.08.004,Ketamine,NMDA receptor,Ephenidine: A new psychoactive agent with ketamine-like NMDA receptor antagonist properties,2016,
10.1016/j.neuropharm.2017.11.049,5-MeO-DMT,5-HT1A,The serotonin hallucinogen 5-MeO-DMT alters cortico-thalamic activity in freely moving mice: Regionally-selective involvement of 5-HT1A and 5-HT2A receptors,2017,
10.1016/j.neuropharm.2018.05.017,Ketamine,NMDA receptor,Effects of Mg2+ on recovery of NMDA receptors from inhibition by memantine and ketamine reveal properties of a second site,2018,
10.1016/j.neuropharm.2018.06.018,MDMA,SERT,"The psychostimulant (±)-cis-4,4′-dimethylaminorex (4,4′-DMAR) interacts with human plasmalemmal and vesicular monoamine transporters",2018,
10.1016/j.neuropharm.2018.06.018,MDMA,SERT (SLC6A4),"The psychostimulant (±)-cis-4,4′-dimethylaminorex (4,4′-DMAR) interacts with human plasmalemmal and vesicular monoamine transporters",2018,
10.1016/j.neuropharm.2021.108612,DMT,Sigma-1 receptor (SIGMAR1),"N,N-Dimethyltryptamine attenuates spreading depolarization and restrains neurodegeneration by sigma-1 receptor activation in the ischemic rat brain",2021,
10.1016/j.neuropharm.2022.109219,Ketamine,NMDA receptor,"Arketamine, a new rapid-acting antidepressant: A historical review and future directions",2022,
10.1016/j.neuropharm.2024.110163,DOI,5-HT2A,The psychedelic drug DOI reduces heroin motivation by targeting 5-HT2A receptors in a heroin and alcohol co-use model,2024,
10.1016/j.neuropharm.2025.110314,DMT,5-HT2A,Exploring DMT: Endogenous role and therapeutic potential,2025,
10.1016/j.neuropharm.2026.110854,Psilocin,5-HT2A,Psilocin mediates long-term synaptic depression in the prelimbic cortex through 5-HT2A receptor-independent mechanisms,2026,
10.1016/j.neuroscience.2010.03.018,MDMA,SERT (SLC6A4),MDMA causes a redistribution of serotonin transporter from the cell surface to the intracellular compartment by a mechanism independent of phospho-p38-mitogen activated protein kinase activation,2010,
10.1016/j.neuroscience.2011.12.040,DMT,Sigma-1 receptor (SIGMAR1),"Development of the sigma-1 receptor in C-terminals of motoneurons and colocalization with the N,N′-dimethyltryptamine forming enzyme, indole-N-methyl transferase",2012,
10.1016/j.nsa.2023.103662,Psilocin,5-HT2A,Electrophysiological study of visual and auditory processing in psilocin-induced hallucinations: exploring evoked potentials and 5-HT2A receptor involvement,2023,
10.1016/j.nsa.2023.103929,LSD,5-HT2A,Knowledge gaps in psychedelic medicalisation: Preclinical and neuroimaging mechanisms,2023,
10.1016/j.nsa.2024.104079,Ketamine,NMDA receptor,A single subanaesthetic dose of the rapid-acting antidepressant S-ketamine raises presynaptic SV2A density in limbic regions of the Wistar Kyoto rat model of depression,2024,
10.1016/j.nsa.2025.106565,Mescaline,5-HT2A,"Scalines: novel mescaline analogues targeting 5-HT2A, 5-HT2B, 5-HT2C, and 5-HT1A receptors",2026,
10.1016/j.ntt.2010.04.012,MDMA,SERT (SLC6A4),"Effects of 3,4-methylenedioxymethamphetamine (MDMA) on serotonin transporter and vesicular monoamine transporter 2 protein and gene expression in rats: Implications for MDMA neurotoxicity",2010,
10.1016/j.ntt.2011.09.005,MDMA,NET (SLC6A2),Prenatal exposure to MDMA alters noradrenergic neurodevelopment in the rat,2011,
