# Deterministic prescreen retained queue for mechanistic generated at 2026-05-19T07:31:34.184747+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/1873-3468.15099,,,"Molecular insights into the modulation of the 5
                    <scp>HT</scp>
                    <sub>
                      2
                      <scp>A</scp>
                    </sub>
                    receptor by serotonin, psilocin, and the G protein subunit Gqα",2025,Niklas Viohl; Ali Asghar Hakami Zanjani; Himanshu Khandelia,FEBS Letters,journal-article,,2025-01-26,0014-5793,1873-3468,Wiley,"Receptor, Serotonin, 5-HT2A / chemistry | Receptor, Serotonin, 5-HT2A / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / chemistry | Molecular Dynamics Simulation | Serotonin / chemistry | Serotonin / metabolism | Serotonin / pharmacology | Humans | Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Psilocybin / metabolism | Protein Binding | Ligands | Protein Conformation | Binding Sites",5HT2AR | G protein‐coupled receptors | free energy calculations | molecular dynamics simulations | psilocin | psychedelics,Novo Nordisk Fonden | Lundbeck Foundation,NNF18OC0032608 | NNF18OC0034936 | R344-2020-1023,,,,,eng,
10.1016/j.neuropharm.2022.109348,,,Antidepressants in the post-ketamine Era: Pharmacological approaches targeting the glutamatergic system,2022,Shigeyuki Chaki; Mai Watanabe,Neuropharmacology,journal-article,,2022-11-21,0028-3908,1873-7064,Elsevier BV,United States | Antidepressive Agents / adverse effects | Ketamine / adverse effects | Drug Discovery | Bupropion | Depression / drug therapy,Antidepressant | Depression | Drug discovery | Glutamatergic system | Ketamine | NMDA receptor,,,,,,,eng,
10.1016/j.neuropharm.2022.109357,,,"Intranasal (R, S)-ketamine delivery induces sustained antidepressant effects associated with changes in cortical balance of excitatory/inhibitory synaptic activity",2022,Thi Mai Loan Nguyen; Céline Defaix; Indira Mendez-David; Laurent Tritschler; Isabelle Etting; Jean-Claude Alvarez; Walid Choucha; Romain Colle; Emmanuelle Corruble; Denis J. David,Neuropharmacology,journal-article,,2022-11-30,0028-3908,1873-7064,Elsevier BV,"Mice | Animals | Ketamine / pharmacology | Antidepressive Agents / pharmacology | Excitatory Amino Acid Antagonists / pharmacology | Glutamic Acid / metabolism | Receptors, N-Methyl-D-Aspartate / metabolism",Antidepressant | GABA | Glutamate | Intranasal | Ketamine | Serotonin,,,,,,,eng,
10.1016/j.neuropharm.2025.110334,,,"Low (micro)doses of 2,5-dimethoxy-4-propylamphetamine (DOPR) increase effortful motivation in low-performing mice",2025,Michael Noback; Johnny A. Kenton; Adam K. Klein; Zoë A. Hughes; Andrew C. Kruegel; Yasmin Schmid; Adam L. Halberstadt; Jared W. Young,Neuropharmacology,journal-article,,2025-02-01,0028-3908,1873-7064,Elsevier BV,"Animals | Motivation / drug effects | Male | Hallucinogens / pharmacology | Hallucinogens / administration & dosage | Mice | Dose-Response Relationship, Drug | Amphetamines / pharmacology | Mice, Inbred C57BL | Serotonin 5-HT2 Receptor Agonists / pharmacology","2,5-dimethoxy-4-propylamphetamine | Effortful motivation | Head twitch response | Mouse | Psychedelic",,,,,,,eng,
10.1016/j.neuroscience.2004.04.058,,,"Administration of a non-NMDA antagonist, gyki 52466, increases excitotoxic Purkinje cell degeneration caused by ibogaine",2004,E O'Hearn; M.E Molliver,Neuroscience,journal-article,,2004-01-01,0306-4522,1873-7544,Elsevier BV,"Animals | Benzodiazepines / toxicity | Dose-Response Relationship, Drug | Drug Synergism | Excitatory Amino Acid Antagonists / toxicity | Glutamic Acid / metabolism | Glutamic Acid / toxicity | Ibogaine / toxicity | Male | Nerve Degeneration / chemically induced | Nerve Degeneration / pathology | Nerve Degeneration / physiopathology | Neurotoxins / toxicity | Olivary Nucleus / drug effects | Olivary Nucleus / metabolism | Purkinje Cells / drug effects | Purkinje Cells / metabolism | Purkinje Cells / pathology | Rats | Rats, Sprague-Dawley | Receptors, AMPA / antagonists & inhibitors | Receptors, AMPA / metabolism | Synapses / drug effects | Synapses / metabolism | Synaptic Transmission / drug effects | Synaptic Transmission / physiology | Up-Regulation / drug effects | Up-Regulation / physiology",,NIDA NIH HHS,DA 08692 | DA00225 | DA13702 | N01DA-3-7301,,,,,eng,
10.1016/j.neuroscience.2005.05.016,,,"Rat brain serotonin neurones that express neuronal nitric oxide synthase have increased sensitivity to the substituted amphetamine serotonin toxins 3,4-methylenedioxymethamphetamine and p-chloroamphetamine",2005,D.J. De Silva; S.J. French; N.Y. Cheung; A.K. Swinson; C. Bendotti; M. Rattray,Neuroscience,journal-article,,2005-01-01,0306-4522,1873-7544,Elsevier BV,"3,4-Methylenedioxyamphetamine / analogs & derivatives | 3,4-Methylenedioxyamphetamine / toxicity | Animals | Blotting, Western | Brain / drug effects | Brain / metabolism | Image Processing, Computer-Assisted | Immunohistochemistry | In Situ Hybridization | Male | Membrane Glycoproteins / drug effects | Membrane Glycoproteins / metabolism | Membrane Transport Proteins / drug effects | Membrane Transport Proteins / metabolism | Nerve Tissue Proteins / biosynthesis | Nerve Tissue Proteins / drug effects | Nerve Tissue Proteins / metabolism | Neurons / drug effects | Neurons / metabolism | Nitric Oxide Synthase / biosynthesis | Nitric Oxide Synthase Type I | RNA, Messenger / analysis | Rats | Rats, Sprague-Dawley | Serotonin / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins | p-Chloroamphetamine / toxicity",,Wellcome Trust,,,,,,eng,
10.1016/j.neuroscience.2007.04.024,,,Analysis of 5-HT6 and 5-HT7 receptor gene expression in rats showing differences in novelty-seeking behavior,2007,S.J. Ballaz; H. Akil; S.J. Watson,Neuroscience,journal-article,,2007-06-01,0306-4522,1873-7544,Elsevier BV,"Animals | Autoradiography | Brain Chemistry / genetics | Brain Chemistry / physiology | Dentate Gyrus / metabolism | Dentate Gyrus / physiology | Emotions / physiology | Exploratory Behavior / physiology | Gene Expression / physiology | Image Processing, Computer-Assisted | In Situ Hybridization | Male | Motor Activity / physiology | Olfactory Bulb / metabolism | Olfactory Bulb / physiology | RNA, Messenger / biosynthesis | RNA, Messenger / genetics | Rats | Rats, Sprague-Dawley | Receptors, Serotonin / biosynthesis | Receptors, Serotonin / genetics | Receptors, Serotonin, 5-HT3 / biosynthesis | Receptors, Serotonin, 5-HT3 / genetics | Thalamus / metabolism | Thalamus / physiology",,NIDA NIH HHS | NIMH NIH HHS,5R01 DA013386 | P01 MH42251,,,,,eng,
10.1016/j.neuroscience.2007.07.043,,,The 5-HT7 receptor: Role in novel object discrimination and relation to novelty-seeking behavior,2007,S.J. Ballaz; H. Akil; S.J. Watson,Neuroscience,journal-article,,2007-08-09,0306-4522,1873-7544,Elsevier BV,"Analysis of Variance | Animals | Behavior, Animal | Discrimination, Psychological / drug effects | Discrimination, Psychological / physiology | Dose-Response Relationship, Drug | Exploratory Behavior / drug effects | Exploratory Behavior / physiology | Male | Muscarinic Antagonists / pharmacology | Pattern Recognition, Visual / drug effects | Pattern Recognition, Visual / physiology | Phenols / pharmacology | Photic Stimulation / methods | Rats | Rats, Sprague-Dawley | Receptors, Serotonin / physiology | Scopolamine / pharmacology | Serotonin Antagonists / pharmacology | Sulfonamides / pharmacology | Time Factors",,NIDA NIH HHS | NIMH NIH HHS,5R01 DA013386 | P01 MH42251,,,,,eng,
10.1016/j.neuroscience.2010.03.016,,,"Is age-dependent, ketamine-induced apoptosis in the rat somatosensory cortex influenced by temperature?",2010,S. Gutierrez; A. Carnes; B. Finucane; G. Musci; W. Oelsner; L. Hicks; G.B. Russell; C. Liu; C.P. Turner,Neuroscience,journal-article,,2010-03-17,0306-4522,1873-7544,Elsevier BV,"Age Factors | Anesthetics, General / pharmacology | Animals | Apoptosis | Caspase 3 / biosynthesis | Female | Ketamine / pharmacology | Male | Rats | Rats, Sprague-Dawley | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Somatosensory Cortex / cytology | Somatosensory Cortex / drug effects | Temperature",,NINDS NIH HHS,R01 NS051632,,,,,eng,
10.1016/j.neuroscience.2010.03.018,,,MDMA causes a redistribution of serotonin transporter from the cell surface to the intracellular compartment by a mechanism independent of phospho-p38-mitogen activated protein kinase activation,2010,B. Kivell; D. Day; P. Bosch; S. Schenk; J. Miller,Neuroscience,journal-article,,2010-03-17,0306-4522,1873-7544,Elsevier BV,"Animals | Blotting, Western | Brain / drug effects | Brain / metabolism | Cell Line, Tumor | Cell Membrane / metabolism | Enzyme Activation | Male | Mice | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Phosphorylation | Protein Transport | Rats | Rats, Sprague-Dawley | Reverse Transcriptase Polymerase Chain Reaction | Serotonin Plasma Membrane Transport Proteins / metabolism | p38 Mitogen-Activated Protein Kinases / metabolism",,,,,,,,eng,
10.1016/j.neuroscience.2010.05.054,,,Changes in 5-HT2A-mediated behavior and 5-HT2A- and 5-HT1A receptor binding and expression in conditional brain-derived neurotrophic factor knock-out mice,2010,A.B. Klein; M.A. Santini; S. Aznar; G.M. Knudsen; M. Rios,Neuroscience,journal-article,,2010-06-02,0306-4522,1873-7544,Elsevier BV,"Amphetamines / pharmacology | Animals | Autoradiography | Behavior, Animal | Binding Sites | Brain-Derived Neurotrophic Factor / genetics | Brain-Derived Neurotrophic Factor / metabolism | Frontal Lobe / metabolism | Hippocampus / metabolism | Mice | Mice, Knockout | Neurons / metabolism | Proto-Oncogene Proteins c-fos / metabolism | Radioligand Assay | Receptor, Serotonin, 5-HT1A / metabolism | Receptor, Serotonin, 5-HT2A / physiology | Receptor, Serotonin, 5-HT2C / metabolism | Serotonin Plasma Membrane Transport Proteins / metabolism | Serotonin Receptor Agonists / pharmacology",,NIDDK NIH HHS | NIMH NIH HHS,R01 DK073311 | R01 MH067817 | MH67817 | DK073311,,,,,eng,
10.1016/j.neuroscience.2011.01.011,,,Serotonin 2A and 2B receptor-induced phrenic motor facilitation: differential requirement for spinal NADPH oxidase activity,2011,P.M. MacFarlane; S. Vinit; G.S. Mitchell,Neuroscience,journal-article,,2011-01-10,0306-4522,1873-7544,Elsevier BV,"Acetophenones / administration & dosage | Acetophenones / pharmacology | Action Potentials / drug effects | Action Potentials / physiology | Amphetamines / administration & dosage | Amphetamines / antagonists & inhibitors | Amphetamines / pharmacology | Animals | Indoles / administration & dosage | Indoles / antagonists & inhibitors | Indoles / pharmacology | Injections, Spinal | Ketanserin / administration & dosage | Ketanserin / pharmacology | Male | NADPH Oxidases / antagonists & inhibitors | NADPH Oxidases / physiology | Onium Compounds / pharmacology | Phrenic Nerve / drug effects | Phrenic Nerve / enzymology | Phrenic Nerve / physiology | Pyridines / pharmacology | Rats | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT2A / physiology | Receptor, Serotonin, 5-HT2B / physiology | Serotonin 5-HT2 Receptor Agonists / administration & dosage | Serotonin 5-HT2 Receptor Agonists / pharmacology | Serotonin 5-HT2 Receptor Antagonists / administration & dosage | Serotonin 5-HT2 Receptor Antagonists / pharmacology | Thiophenes / administration & dosage | Thiophenes / antagonists & inhibitors | Thiophenes / pharmacology",,NHLBI NIH HHS,R01 HL080209 | HL-80209,,,,,eng,
10.1016/j.neuroscience.2011.10.015,,,Complex receptor mediation of acute ketamine application on in vitro gamma oscillations in mouse prefrontal cortex: modeling gamma band oscillation abnormalities in schizophrenia,2011,J.M. McNally; R.W. McCarley; J.T. McKenna; Y. Yanagawa; R.E. Brown,Neuroscience,journal-article,,2011-10-20,0306-4522,1873-7544,Elsevier BV,"Animals | Disease Models, Animal | Electroencephalography | Excitatory Amino Acid Antagonists / pharmacology | GABAergic Neurons / drug effects | Gene Knock-In Techniques | Green Fluorescent Proteins / genetics | Immunohistochemistry | Interneurons / drug effects | Ketamine / pharmacology | Mice | Organ Culture Techniques | Patch-Clamp Techniques | Prefrontal Cortex / drug effects | Prefrontal Cortex / physiology | Receptors, GABA-A / drug effects | Receptors, N-Methyl-D-Aspartate / drug effects | Schizophrenia / physiopathology",,NIMH NIH HHS,R01 MH040799 | R21 MH094803,,,,,eng,
10.1016/j.neuroscience.2011.12.040,,,"Development of the sigma-1 receptor in C-terminals of motoneurons and colocalization with the N,N′-dimethyltryptamine forming enzyme, indole-N-methyl transferase",2012,T.A. Mavlyutov; M.L. Epstein; P. Liu; Y.I. Verbny; L. Ziskind-Conhaim; A.E. Ruoho,Neuroscience,journal-article,,2012-01-05,0306-4522,1873-7544,Elsevier BV,"Animals | Immunohistochemistry | Methyltransferases / metabolism | Mice | Mice, Mutant Strains | Motor Neurons / metabolism | N,N-Dimethyltryptamine / metabolism | Neurogenesis / physiology | Post-Synaptic Density / metabolism | Receptors, sigma / biosynthesis | Sigma-1 Receptor",,NIDDK NIH HHS | NIMH NIH HHS | NINDS NIH HHS,R01 DK081634 | R01 MH065503 | R01 NS023808 | R01 NS-23808,,,,,eng,
10.1016/j.neuroscience.2018.02.037,,,"3,4-Methylenedioxymethamphetamine (MDMA) Alters Synaptic Dopamine Release in the Dorsal Striatum Through Nicotinic Receptors and DAT Inhibition",2018,Francesca Romana Rizzo; Mauro Federici; Nicola Biagio Mercuri,Neuroscience,journal-article,,2018-03-03,0306-4522,1873-7544,Elsevier BV,"Animals | Corpus Striatum / drug effects | Corpus Striatum / metabolism | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / antagonists & inhibitors | Dopamine Plasma Membrane Transport Proteins / genetics | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Hallucinogens / pharmacology | Mice, Inbred C57BL | Mice, Transgenic | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Receptors, Nicotinic / metabolism | Synapses / drug effects | Synapses / metabolism | Tissue Culture Techniques","3,4-methylenedioxymethamphetamine (MDMA) | DA transporter | cocaine | dopamine | nicotinic cholinergic receptors",,,,,,,eng,
