# Deterministic prescreen excluded queue for mechanistic generated at 2026-05-19T07:31:34.240394+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/minf.201300013,,,Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,A. Seddik; M. Holy; Rene Weissensteiner; Barbara Zdrazil; H. Sitte; G. Ecker,Molecular Informatics,JournalArticle,,2013-06-01,1868-1743,1868-1751,Wiley,,Chemistry | Medicine | external | s2-fos-model,Funded Access | Austrian Science Fund,F03502 | F3506 | W1232,,,,,en,b66dddba28797d68fccdec32ed9c0205274c1d54
10.1038/tp.2012.54,,,The genetics of addiction—a translational perspective,2012,Arpana Agrawal; Karin J. H. Verweij; Nathan A. Gillespie; Andrew C. Heath; Christina N. Lessov‐Schlaggar; Nicholas G. Martin; Elliot C. Nelson; Wendy S. Slutske; John B. Whitfield; Michael T. Lynskey,Translational psychiatry,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't | Review",,2012-07-17,2158-3188,2158-3188,,Biomarkers | Diagnostic and Statistical Manual of Mental Disorders | Endophenotypes | Gene-Environment Interaction | Genetic Association Studies | Genetic Predisposition to Disease | Genetic Variation | Humans | Pharmacogenetics | Substance-Related Disorders / classification | Substance-Related Disorders / diagnosis | Substance-Related Disorders / genetics,,NIDA NIH HHS | NIAAA NIH HHS,DA25886 | R00DA023549 | R01 DA030976 | P50 AA011998 | R01 DA023668 | R01 AA013326 | AA013326 | AA17688 | R01 AA017915 | DA17305 | R01 DA018660 | DA23668 | DA030976 | DA027046 | DA18660 | R01 AA014041 | K05 AA017688 | AA11998 | R03 DA025886 | AA014041 | R00 DA023549 | R01 DA017305 | K01 DA027046,,ErratumIn Transl Psychiatry. 2012;2:e193,,true,eng,
10.1038/tp.2013.131,,,Variation within the serotonin (5-HT) 5-HT2C receptor system aligns with vulnerability to cocaine cue reactivity,2014,Noelle C. Anastasio; S Liu; Lorena Maili; S E Swinford; Scott D. Lane; Robert G. Fox; Sara Hamon; David A. Nielsen; Kathryn A. Cunningham; F. Gerard Moeller,Translational psychiatry,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",,2014-03-11,2158-3188,2158-3188,,"Adult | Animals | Appetitive Behavior / drug effects | Appetitive Behavior / physiology | Attention / drug effects | Attention / physiology | Azepines / pharmacology | Cocaine | Cocaine-Related Disorders / genetics | Cues | Female | Humans | Individuality | Indoles / pharmacology | Male | Middle Aged | Polymorphism, Single Nucleotide | Prefrontal Cortex / metabolism | Rats | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT2C / genetics | Receptor, Serotonin, 5-HT2C / physiology | Serotonin 5-HT2 Receptor Agonists / pharmacology | Stroop Test",,NIDA NIH HHS,K02 DA000403 | P20 DA024157 | F31 DA035620 | DA026120 | P50 DA009262 | R25 DA026120 | T32 DA007287 | K99 DA033374 | K05 DA020087 | P50 DA033935,,,,,eng,
10.1038/tp.2015.189,,,Characterization of brain mGluR5 binding in a pilot study of late-life major depressive disorder using positron emission tomography and [11C]ABP688,2015,C DeLorenzo; J Sovago; J Gardus; J Xu; J Yang; R Behrje; J S D Kumar; D P Devanand; G H Pelton; C A Mathis,Translational Psychiatry,journal-article,,2015-12-08,2158-3188,2158-3188,Springer Science and Business Media LLC,"Aged | Brain / metabolism | Carbon Radioisotopes | Major Depressive Disorder / metabolism | Female | Humans | Male | Middle Aged | Oximes | Pilot Projects | Positron-Emission Tomography | Pyridines | Receptor, Metabotropic Glutamate 5 / metabolism",,NIMH NIH HHS,K01 MH091354 | K01MH091354,,,,,eng,
10.1038/tp.2016.195,,,"Cannabidiol is a partial agonist at dopamine D2High receptors, predicting its antipsychotic clinical dose",2016,P Seeman,Translational Psychiatry,journal-article,,2016-10-18,2158-3188,2158-3188,Springer Science and Business Media LLC,"Animals | Antipsychotic Agents / therapeutic use | Binding, Competitive | Brain / drug effects | Cannabidiol / pharmacokinetics | Cannabidiol / therapeutic use | Domperidone / pharmacokinetics | Dose-Response Relationship, Drug | Humans | Rats | Rats, Sprague-Dawley | Receptors, Dopamine D2 / agonists | Receptors, Dopamine D2 / drug effects | Schizophrenia / drug therapy | Schizophrenic Psychology",,,,,,,,eng,
10.1038/tp.2017.6,,,Chemistry-based molecular signature underlying the atypia of clozapine,2017,T Cardozo; E Shmelkov; K Felsovalyi; J Swetnam; T Butler; D Malaspina; S V Shmelkov,Translational Psychiatry,journal-article,,2017-02-21,2158-3188,2158-3188,Springer Science and Business Media LLC,"Antipsychotic Agents / metabolism | Brain / metabolism | Caudate Nucleus / metabolism | Chlorpromazine / metabolism | Clozapine / metabolism | Computer Simulation | Humans | Pineal Gland / metabolism | Prefrontal Cortex / metabolism | Receptor, Muscarinic M1 / metabolism | Receptor, Muscarinic M3 / metabolism | Receptor, Serotonin, 5-HT2A / metabolism | Receptor, Serotonin, 5-HT2C / metabolism | Receptors, Dopamine D4 / metabolism",,NIGMS NIH HHS | NLM NIH HHS | ARRA NIH HHS,R43 GM113546 | R43 LM012577 | RC2 LM010994,,,,,eng,
10.1039/c3mt00347g,,,"Serum ferritin is an important inflammatory disease marker, as it is mainly a leakage product from damaged cells",2014,Douglas B. Kell; Etheresia Pretorius,Metallomics,journal-article,,2014-01-01,1756-5901,1756-591X,Oxford University Press (OUP),"Animals | Biomarkers / analysis | Biomarkers / blood | Biomarkers / metabolism | Ferritins / analysis | Ferritins / blood | Ferritins / metabolism | Humans | Inflammation / blood | Inflammation / metabolism | Iron / analysis | Iron / metabolism | Liver / metabolism | Liver / pathology | Models, Molecular | Oxidative Stress | Systems Biology",,,,,,,,eng,
10.1039/c4ob02165g,,,Synthesis of a β-CCT-lanthanide conjugate for binding the dopamine transporter,2015,Gregory R. Naumiec; Grace Lincourt; Jeremy P. Clever; Michael A. McGregor; Abraham Kovoor; Brenton DeBoef,Organic & Biomolecular Chemistry,journal-article,,2015-01-01,1477-0520,1477-0539,Royal Society of Chemistry (RSC),Binding Sites | Carbolines / chemistry | Dopamine Plasma Membrane Transport Proteins / chemistry | HEK293 Cells | Humans | Lanthanoid Series Elements / chemistry | Molecular Structure | Organometallic Compounds / chemical synthesis | Organometallic Compounds / chemistry,,,,,,,,eng,
10.1039/c6md00207b,,,From linked open data to molecular interaction: studying selectivity trends for ligands of the human serotonin and dopamine transporter,2016,Barbara Zdrazil; Eva Hellsberg; Michael Viereck; Gerhard F. Ecker,MedChemComm,journal-article,,2016-01-01,2040-2503,2040-2511,Royal Society of Chemistry (RSC),,,Austrian Science Fund FWF,F 3502 | W 1232,,,,,eng,
10.1039/c7cs00240h,,,"Fluorescent chemosensors: the past, present and future",2017,Di Wu; Adam C. Sedgwick; Thorfinnur Gunnlaugsson; Engin U. Akkaya; Juyoung Yoon; Tony D. James,Chemical Society Reviews,journal-article,,2017-01-01,0306-0012,1460-4744,Royal Society of Chemistry (RSC),Biotechnology | Fluorescent Dyes / chemistry,,,,,,,,eng,
10.1039/c8md00545a,,,Synthesis and receptor binding of thiophene bioisosteres of potent GluN2B ligands with a benzo[7]annulene-scaffold,2019,Sören Baumeister; Dirk Schepmann; Bernhard Wünsch,MedChemComm,journal-article,,2019-01-01,2040-2503,2040-2511,Royal Society of Chemistry (RSC),,,Deutsche Forschungsgemeinschaft,,,,,,eng,
10.1039/c8ra01545g,,,Synergistic regulation mechanism of iperoxo and LY2119620 for muscarinic acetylcholine M2 receptor,2018,Quan Li; Hai-Feng Chen,RSC Advances,journal-article,,2018-01-01,2046-2069,2046-2069,Royal Society of Chemistry (RSC),,,,,,,,,eng,
10.1039/d0md00186d,,,<i>In vitro</i>and<i>in vivo</i>sigma 1 receptor imaging studies in different disease states,2020,Hebaalla Agha; Christopher R. McCurdy,RSC Medicinal Chemistry,journal-article,,2020-10-08,2632-8682,2632-8682,Royal Society of Chemistry (RSC),,,,,,,,,eng,
10.1039/d1md00041a,,,Comprehensive overview of biased pharmacology at the opioid receptors: biased ligands and bias factors,2021,Jolien De Neve; Thomas M. A. Barlow; Dirk Tourwé; Frédéric Bihel; Frédéric Simonin; Steven Ballet,RSC Medicinal Chemistry,journal-article,,2021-01-01,2632-8682,2632-8682,Royal Society of Chemistry (RSC),,,,,,,,,eng,
10.1039/d1md00096a,,,Progress in mechanistically novel treatments for schizophrenia,2021,James Neef; Daniel S. Palacios,RSC Medicinal Chemistry,journal-article,,2021-01-01,2632-8682,2632-8682,Royal Society of Chemistry (RSC),,,,,,,,,eng,
10.1039/d1ra00644d,,,A review on potential of natural products in the management of COVID-19,2021,Rudra Chakravarti; Rajveer Singh; Arijit Ghosh; Dhritiman Dey; Priyanka Sharma; V. Ravichandiran; Syamal Roy; Dipanjan Ghosh,RSC advances,Journal Article | Review,,2021-05-12,2046-2069,2046-2069,,,,,,,,,,eng,
10.1039/d2ra06628a,,,Mutation in the D1 domain of CD4 receptor modulates the binding affinity to HIV-1 gp120,2023,Jiping Shao; Gezhi Liu; Gang Lv,RSC advances,Journal Article,,2023-01-11,2046-2069,2046-2069,,,,,,,,,,eng,
10.1039/d3nr03799a,,,An extracellular matrix-mimicking magnetic microrobot for targeted elimination of circulating cancer cells,2023,Jing Huang; Yuan Liu; Jiandong Wu; Fuping Dong; Chu Liu; Jiawei Luo; Xiangchao Liu; Ning Wang; Lei Wang; Haifeng Xu,Nanoscale,journal-article,,2023-11-18,2040-3364,2040-3372,Royal Society of Chemistry (RSC),"Humans | Neoplastic Cells, Circulating / pathology | Ligands | Extracellular Matrix / pathology | Magnetics | Magnetic Fields",,,,,,,,eng,
10.1039/d4sc06949h,,,Fluorescent PyrAte-(<i>S</i>)-citalopram conjugates enable imaging of the serotonin transporter in living tissue,2025,Oliver J. V. Belleza; Iakovos Saridakis; Nadja K. Singer; Xavier Westergaard; Sergio Armentia Matheu; Miran Lemmerer; Margaux Riomet; Pedro A. Sánchez-Murcia; Nina Kastner; Stefanie Rukavina,Chemical Science,journal-article,,2025-01-01,2041-6520,2041-6539,Royal Society of Chemistry (RSC),,,NIDA NIH HHS | NIMH NIH HHS,R01 DA007418 | R01 MH108186 | R01 MH122470,,,,,eng,
10.1042/0264-6021:3630449,,,Expression of the two mRNA isoforms of the iron transporter Nrmap2/DMTI in mice and function of the iron responsive element,2002,Dimitri TCHERNITCHKO; Monique BOURGEOIS; Marie-Elise MARTIN; Carole BEAUMONT,Biochemical Journal,journal-article,,2002-05-01,0264-6021,1470-8728,Portland Press Ltd.,"Alternative Splicing / physiology | Animals | Cation Transport Proteins / genetics | Dactinomycin / pharmacology | Deferoxamine / pharmacology | Duodenum / metabolism | Erythropoiesis | Gene Expression Regulation / drug effects | HT29 Cells | Half-Life | Humans | Iron / physiology | Iron Chelating Agents / pharmacology | Iron-Binding Proteins | Kidney / metabolism | Mice | Nucleic Acid Synthesis Inhibitors / pharmacology | Oxidants / pharmacology | Phenylhydrazines / pharmacology | Polymerase Chain Reaction | RNA, Messenger / biosynthesis | RNA, Messenger / genetics | RNA, Messenger / physiology | Transfection | Solute Carrier Family 11, Member 2",,,,,,,,eng,
10.1042/BCJ20210585,,,"Expression and function of SLC38A5, an amino acid-coupled Na+/H+ exchanger, in triple-negative breast cancer and its relevance to macropinocytosis",2021,Sabarish Ramachandran; Souad R. Sennoune; Monica Sharma; Muthusamy Thangaraju; Varshini V. Suresh; Tyler Sneigowski; Yangzom D. Bhutia; Kevin Pruitt; Vadivel Ganapathy,Biochemical Journal,journal-article,,2021-10-27,0264-6021,1470-8728,Portland Press Ltd.,"Amino Acid Transport Systems, Neutral / physiology | Animals | Biological Transport | Cell Line, Tumor | Endocytosis | Female | Humans | Mice | Mice, Transgenic | Triple Negative Breast Neoplasms / metabolism",breast cancer | cell proliferation | glutamine addiction | intracellular alkalinization | macropinocytosis | one-carbon metabolism,NCI NIH HHS,R01 CA131402 | R01 CA275840,,,,,eng,
10.1042/BJ20090884,,,Role of phosphoinositides in STIM1 dynamics and store-operated calcium entry,2009,Ciara M. Walsh; Michael Chvanov; Lee P. Haynes; Ole H. Petersen; Alexei V. Tepikin; Robert D. Burgoyne,The Biochemical journal,"Journal Article | Research Support, Non-U.S. Gov't",,2009-12-14,0264-6021,1470-8728,,"1-Phosphatidylinositol 4-Kinase / antagonists & inhibitors | 1-Phosphatidylinositol 4-Kinase / metabolism | Adenosine Triphosphate / metabolism | Androstadienes / pharmacology | Calcium / metabolism | Calcium Channels / genetics | Calcium Channels / metabolism | Cell Membrane / metabolism | Chromones / pharmacology | Endoplasmic Reticulum / metabolism | HeLa Cells | Humans | Inositol 1,4,5-Trisphosphate / metabolism | Kinetics | Luminescent Proteins / genetics | Luminescent Proteins / metabolism | Membrane Proteins / genetics | Membrane Proteins / metabolism | Microscopy, Confocal | Morpholines / pharmacology | Neoplasm Proteins / genetics | Neoplasm Proteins / metabolism | ORAI1 Protein | Phosphatidylinositol 3-Kinases / metabolism | Phosphatidylinositol 4,5-Diphosphate / metabolism | Phosphatidylinositols / metabolism | Phosphoinositide-3 Kinase Inhibitors | Protein Binding | Protein Transport / drug effects | Stromal Interaction Molecule 1 | Transfection | Wortmannin",,Medical Research Council | Wellcome Trust,G9900432 | 080910/Z/06/Z | G0700167,,,,,eng,
10.1042/BJ20100890,,,The inhibition of monocarboxylate transporter 2 (MCT2) by AR-C155858 is modulated by the associated ancillary protein,2010,Matthew J. Ovens; Christine Manoharan; Marieangela C. Wilson; Clare Murray; Andrew P. Halestrap,The Biochemical journal,"Journal Article | Research Support, Non-U.S. Gov't",,2010-10-15,0264-6021,1470-8728,,Animals | Basigin / metabolism | Erythrocytes / drug effects | Erythrocytes / metabolism | Glycoproteins / metabolism | Kinetics | Lactic Acid / metabolism | Membrane Proteins | Monocarboxylic Acid Transporters / antagonists & inhibitors | Monocarboxylic Acid Transporters / chemistry | Mutant Proteins / antagonists & inhibitors | Mutant Proteins / chemistry | Oocytes / cytology | Oocytes / drug effects | Rabbits | Rats | Recombinant Proteins / metabolism | Symporters / antagonists & inhibitors | Symporters / chemistry | Thiophenes / pharmacology | Uracil / analogs & derivatives | Uracil / pharmacology | Xenopus Proteins / metabolism | Xenopus laevis / metabolism | Monocarboxylate Transport Protein 1,,Wellcome Trust | Medical Research Council,079792/z/06/,,,,,eng,
10.1042/BJ20141171,,,Mitochondrial pyruvate transport: a historical perspective and future research directions,2015,Kyle S. McCommis; Brian N. Finck,Biochemical Journal,journal-article,,2015-03-06,0264-6021,1470-8728,Portland Press Ltd.,Animals | Biological Transport / physiology | Forecasting | Glycolysis / physiology | Humans | Membrane Transport Proteins / metabolism | Metabolic Networks and Pathways / physiology | Mitochondria / metabolism | Mitochondrial Membrane Transport Proteins | Mitochondrial Membranes / metabolism | Monocarboxylic Acid Transporters | Pyruvic Acid / metabolism,,NIAAA NIH HHS | NIDDK NIH HHS,R42 AA021228 | P30 DK056341 | R01 DK078187 | T32 DK007296 | R01 DK104735,,,,,eng,
10.1042/BST20210699,,,Structures and coordination chemistry of transporters involved in manganese and iron homeostasis,2023,Shamayeeta Ray; Rachelle Gaudet,Biochemical Society Transactions,journal-article,,2023-06-07,0300-5127,1470-8752,Portland Press Ltd.,Animals | Manganese / metabolism | Metals / metabolism | Iron / chemistry | Biological Transport | Homeostasis,iron metabolism | manganese metabolism | metal coordination | transport,NIGMS NIH HHS,R01 GM120996,,,,,eng,
10.1042/BST20220494,,,Improving the hole picture: towards a consensus on the mechanism of nuclear transport,2023,David Cowburn; Michael Rout,Biochemical Society Transactions,journal-article,,2023-04-26,0300-5127,1470-8752,Portland Press Ltd.,"Active Transport, Cell Nucleus | Consensus | Nuclear Pore Complex Proteins / metabolism | Nuclear Pore / metabolism | Cell Nucleus / metabolism",cell nucleus | nuclear pores | nuclear protein transportport proteins | nucleic acids,NIGMS NIH HHS | NIH HHS,R01 GM117212 | P41 GM066354 | P41 GM109824 | S10 OD016305 | R01 GM112108,,UpdateOf PMID:37064528 ArXiv. 2023 Apr 6:arXiv:2304.03230v1.,,,eng,
10.1042/bj20071366,,,Generation of an agonistic binding site for blockers of the M3 muscarinic acetylcholine receptor,2008,Doreen Thor; Angela Schulz; Thomas Hermsdorf; Torsten Schöneberg,Biochemical Journal,journal-article,,2008-04-25,0264-6021,1470-8728,Portland Press Ltd.,"Animals | Atropine / metabolism | Atropine / pharmacology | Binding Sites / genetics | COS Cells | Chlorocebus aethiops | Muscarinic Antagonists / metabolism | Mutagenesis | Mutant Proteins / agonists | Mutant Proteins / metabolism | Mutation / physiology | Rats | Receptor, Muscarinic M3 / agonists | Receptor, Muscarinic M3 / genetics | Receptor, Muscarinic M3 / metabolism | Receptor, Muscarinic M3 / physiology | Saccharomyces cerevisiae | Substrate Specificity / genetics | Transfection",,,,,,,,eng,
10.1042/bj2660107,,,The inhibition of insulin action and glucose metabolism by porcine growth hormone in porcine adipocytes is not the result of any decrease in insulin binding or insulin receptor kinase activity,1990,K A Magri; M Adamo; D Leroith; T D Etherton,Biochemical Journal,journal-article,,1990-02-15,0264-6021,1470-8728,Portland Press Ltd.,"Adipose Tissue / drug effects | Adipose Tissue / metabolism | Animals | Biological Transport / drug effects | Cell Membrane / metabolism | Fatty Acid Synthases / metabolism | Glucose / metabolism | Glucosephosphate Dehydrogenase / metabolism | Growth Hormone / pharmacology | Insulin / metabolism | Insulin / pharmacology | Malate Dehydrogenase / metabolism | Male | Phosphogluconate Dehydrogenase / metabolism | Phosphorylation | Protein-Tyrosine Kinases / metabolism | Receptor, Insulin | Swine",,,,,,,,eng,
10.1042/bj2800267,,,"High-affinity folate binding in human choroid plexus. Characterization of radioligand binding, immunoreactivity, molecular heterogeneity and hydrophobic domain of the binding protein",1991,J Holm; S I Hansen; M Høier-Madsen; L Bostad,Biochemical Journal,journal-article,,1991-11-15,0264-6021,1470-8728,Portland Press Ltd.,"Binding Sites | Carrier Proteins / analysis | Carrier Proteins / isolation & purification | Carrier Proteins / metabolism | Choroid Plexus / metabolism | Chromatography, Gel | Electrophoresis, Polyacrylamide Gel | Enzyme-Linked Immunosorbent Assay | Folate Receptors, GPI-Anchored | Folic Acid / metabolism | Humans | Immunohistochemistry | Kinetics | Molecular Weight | Phosphatidylinositol Diacylglycerol-Lyase | Phosphoinositide Phospholipase C | Phosphoric Diester Hydrolases / metabolism | Radioligand Assay | Receptors, Cell Surface | Type C Phospholipases / metabolism",,,,,,,,eng,
10.1042/bj2970425,,,Sodium ion-dependent transporters for neurotransmitters: a review of recent developments.,1994,D. Worrall; D. Williams,The Biochemical journal,Review | JournalArticle,,1994-02-01,0264-6021,1470-8728,Portland Press Ltd.,"Amino Acid Sequence | Animals | Biological Transport | Carrier Proteins / metabolism | Humans | Molecular Sequence Data | Neurotransmitter Agents / chemistry | Neurotransmitter Agents / metabolism | Sequence Homology, Amino Acid | Sodium / metabolism",Chemistry | Medicine | external | Biology | s2-fos-model,,,,,,,en,a76e4cc2964195945ff7e5c422b89c50914b2b6b
10.1042/bj3230421,,,Regulation by bivalent cations of phospholipid binding to the C2A domain of synaptotagmin III,1997,Mitsunori FUKUDA; Toshio KOJIMA; Katsuhiko MIKOSHIBA,Biochemical Journal,journal-article,,1997-04-15,0264-6021,1470-8728,Portland Press Ltd.,Amino Acid Sequence | Animals | Barium / pharmacology | Binding Sites | Calcium-Binding Proteins | Carrier Proteins / metabolism | Liposomes / metabolism | Magnesium / pharmacology | Membrane Glycoproteins / metabolism | Membrane Proteins / metabolism | Mice | Molecular Sequence Data | Nerve Tissue Proteins / metabolism | Phospholipids / metabolism | Sequence Alignment | Strontium / pharmacology | Synaptotagmin II | Synaptotagmins,,,,,,,,eng,
10.1042/bj3480381,,,The m3 muscarinic acetylcholine receptor is coupled to mitogen-activated protein kinase via protein kinase C and epidermal growth factor receptor kinase,2000,Barbara E. SLACK,Biochemical Journal,journal-article,,2000-05-23,0264-6021,1470-8728,Portland Press Ltd.,,,,,,,,,en,
10.1042/bst20180512,,,"How to rescue misfolded SERT, DAT and NET: targeting conformational intermediates with atypical inhibitors and partial releasers",2019,Shreyas Bhat; Amy Hauck Newman; Michael Freissmuth,Biochemical Society Transactions,journal-article,,2019-05-07,0300-5127,1470-8752,Portland Press Ltd.,Animals | Dopamine Plasma Membrane Transport Proteins / chemistry | Dopamine Plasma Membrane Transport Proteins / metabolism | Endoplasmic Reticulum / metabolism | Humans | Molecular Chaperones / metabolism | Norepinephrine Plasma Membrane Transport Proteins / chemistry | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Protein Conformation | Protein Folding | Serotonin Plasma Membrane Transport Proteins / chemistry | Serotonin Plasma Membrane Transport Proteins / metabolism,dopamine transporter | pharmacochaperoning | protein folding | serotonin transporter,,,,,,,eng,
10.1042/bst20220525,,,The muscarinic M4 acetylcholine receptor exacerbates symptoms of movement disorders,2023,Nicole Chambers; Michael Millett; Mark S. Moehle,Biochemical Society transactions,"Review | Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",,2023-04-26,0300-5127,1470-8752,,"Humans | Acetylcholine | Receptor, Muscarinic M4 | Dopamine | Movement Disorders | Cholinergic Agents",acetylcholine | basal ganglia | cholinergic | motor deficits | movement disorders | muscarinic,NINDS NIH HHS,R00 NS110878,,,,,eng,
10.1042/bst20231061,,,Dopamine synthesis and transport: current and novel therapeutics for parkinsonisms,2024,Mary Dayne Sia Tai; Gloria Gamiz-Arco; Aurora Martinez,Biochemical Society Transactions,journal-article,,2024-05-30,0300-5127,1470-8752,Portland Press Ltd.,Humans | Dopamine / metabolism | Levodopa / therapeutic use | Parkinson Disease / drug therapy | Parkinson Disease / metabolism | Parkinsonian Disorders / drug therapy | Parkinsonian Disorders / metabolism | Animals | Biological Transport,Parkinson's disease | dopamine deficiencies | inherited disorders | parkinsonism | small molecules | therapy,,,,,,,eng,
10.1042/ns20210004,,,Targeting the M1 muscarinic acetylcholine receptor in Alzheimer’s disease,2022,Louis Dwomoh; Gonzalo S. Tejeda; Andrew B. Tobin,Neuronal Signaling,journal-article,,2022-04-01,2059-6553,2059-6553,Portland Press Ltd.,,Alzheimer's disease | acetylcholine | allosteric regulation | muscarinic receptor | orthosteric,,,,,,,eng,
10.1042/ns20210006,,,Molecular mechanisms of action of stimulant novel psychoactive substances that target the high-affinity transporter for dopamine,2021,Michelle A. Sahai; Jolanta Opacka-Juffry,Neuronal Signaling,journal-article,,2021-11-03,2059-6553,2059-6553,Portland Press Ltd.,,addiction | dopamine transporter | molecular modelling | new psychoactive substances | psychostimulants | review,,,,,,,eng,
10.1046/j.1365-2796.2002.00961.x,,,A C‐1291G polymorphism in the α<sub>2A</sub>‐adrenergic receptor gene (<i>ADRA2A</i>) promoter is associated with cortisol escape from dexamethasone and elevated glucose levels,2002,R. Rosmond; C. Bouchard; P. Björntorp,Journal of Internal Medicine,journal-article,,2002-03-03,0954-6820,1365-2796,Wiley,"Blood Glucose / analysis | Blood Pressure / genetics | Deoxyribonuclease HpaII | Dexamethasone | Humans | Hydrocortisone / analysis | Insulin Resistance / genetics | Male | Middle Aged | Obesity / genetics | Polymerase Chain Reaction | Polymorphism, Single Nucleotide | Promoter Regions, Genetic | Receptors, Adrenergic, alpha-2 / genetics | Receptors, Adrenergic, alpha-2 / metabolism | Saliva / chemistry",,,,,,,,eng,
10.1046/j.1468-2982.2003.00525.x,,,"5-HT
                    <sub>1F</sub>
                    Receptor Agonists in Acute Migraine Treatment: A Hypothesis",2003,NM Ramadan; V Skljarevski; LA Phebus; KW Johnson,Cephalalgia,journal-article,,2003-09-26,0333-1024,1468-2982,SAGE Publications,"Acute Disease | Animals | Clinical Trials as Topic / statistics & numerical data | Humans | Migraine Disorders / drug therapy | Migraine Disorders / metabolism | Receptors, Serotonin / metabolism | Serotonin Receptor Agonists / therapeutic use | Receptor, Serotonin, 5-HT1F",,,,,,,,eng,
10.1046/j.1471-4159.1997.69020753.x,,,Characterization of Glutamate‐Induced Formation of <i>N</i>‐Acylphosphatidylethanolamine and <i>N</i>‐Acylethanolamine in Cultured Neocortical Neurons,1997,Harald S. Hansen; Lotte Lauritzen; Anne Mette Strand; Anne Marie Vinggaard; Aase Frandsen; Arne Schousboe,Journal of Neurochemistry,journal-article,,1997-08-01,0022-3042,1471-4159,Wiley,"2-Amino-5-phosphonovalerate / pharmacology | 6-Cyano-7-nitroquinoxaline-2,3-dione / pharmacology | Animals | Arachidonic Acid / metabolism | Arachidonic Acids / metabolism | Calcimycin / pharmacology | Cell Death | Cells, Cultured | Cerebral Cortex / drug effects | Cerebral Cortex / metabolism | Embryo, Mammalian | Endocannabinoids | Ethanolamine | Ethanolamines / metabolism | Glutamic Acid / pharmacology | Ionophores / pharmacology | Mice | Neurons / metabolism | Phencyclidine / analogs & derivatives | Phencyclidine / pharmacology | Phosphatidylethanolamines / metabolism | Polyunsaturated Alkamides | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / physiology | Time Factors",,,,,,,,eng,
10.1046/j.1471-4159.1999.0722127.x,,,High‐Affinity Agonist Binding Correlates with Efficacy (Intrinsic Activity) at the Human Serotonin 5‐HT<sub>2A</sub> and 5‐HT<sub>2C</sub> Receptors: Evidence Favoring the Ternary Complex and Two‐State Models of Agonist Action,1999,Lawrence W. Fitzgerald; Deborah S. Conklin; Carol M. Krause; Anne P. Marshall; John P. Patterson; David P. Tran; Geeta Iyer; Walter A. Kostich; Brian L. Largent; Paul R. Hartig,Journal of Neurochemistry,journal-article,,1999-05-01,0022-3042,1471-4159,Wiley,"Amphetamines / metabolism | Binding, Competitive / physiology | Cell Line | Ergolines / metabolism | Guanosine 5'-O-(3-Thiotriphosphate) / analogs & derivatives | Guanosine 5'-O-(3-Thiotriphosphate) / metabolism | Humans | Hydrolysis | Isomerism | Ligands | Models, Biological | Phosphatidylinositols / metabolism | Receptors, Serotonin / metabolism | Recombinant Proteins | Serotonin Antagonists / metabolism | Serotonin Receptor Agonists / metabolism | Spiperone / analogs & derivatives | Spiperone / metabolism",,,,,,,,eng,
10.1046/j.1471-4159.2002.01084.x,,,Inhibition of tryptophan hydroxylase activity and decreased 5‐HT<sub>1A</sub> receptor binding in a mouse model of Huntington's disease,2002,George J. Yohrling IV; George C.‐T. Jiang; Molly M. DeJohn; Daniel J. Robertson; Kent E. Vrana; Jang‐Ho J. Cha,Journal of Neurochemistry,journal-article,,2002-09-01,0022-3042,1471-4159,Wiley,"8-Hydroxy-2-(di-n-propylamino)tetralin / pharmacokinetics | Aging / metabolism | Animals | Binding, Competitive / physiology | Blotting, Western | Brain Stem / chemistry | Brain Stem / enzymology | Disease Models, Animal | Disease Progression | Enzyme Activation | Exons / physiology | Glutathione Transferase / genetics | Humans | Huntingtin Protein | Huntington Disease / metabolism | Mice | Mice, Transgenic | Nerve Tissue Proteins / chemistry | Nerve Tissue Proteins / genetics | Nerve Tissue Proteins / metabolism | Nuclear Proteins / chemistry | Nuclear Proteins / genetics | Nuclear Proteins / metabolism | Peptide Fragments / chemistry | Peptide Fragments / metabolism | Protein Binding / physiology | Receptors, Serotonin / metabolism | Receptors, Serotonin, 5-HT1 | Recombinant Fusion Proteins / chemistry | Recombinant Fusion Proteins / genetics | Recombinant Fusion Proteins / metabolism | Tryptophan Hydroxylase / antagonists & inhibitors | Tryptophan Hydroxylase / metabolism",,NIGMS NIH HHS | NINDS NIH HHS,R01 GM-38931 | R01 NS-38106,,,,,eng,
