# new DOI queue (disorder) generated at 2026-05-17T10:37:01.346888+00:00
# doi,compound,disorder,optional_study_title,optional_study_year,optional_authors
10.1016/j.xcrm.2026.102796,DMT,Major depressive disorder,"Blunted anticipation, but not consummation, of food rewards in depression.",2026,Schulz C; Klaus J; Peglow F; Ellinger S; Kühnel A; Walter M; Kroemer NB
10.1080/10550887.2025.2612501,MDMA,Bipolar depression,"Clinical and inflammatory profiles in substance use disorder: gender, substance type, and comorbidity in a single-center cross-sectional study in Turkey.",2026,Karatas KS; Soudkhah S; Haci S; Gioventikli T; Arslan H; Gokcen O; Donmez F; Akkus M
10.3389/fpsyt.2026.1802394,DMT,Eating disorders,Dance/movement therapy in psychotic disorders and eating disorders: a systematic review.,2026,Monaco F; Vignapiano A; Landi S; Panarello E; Malvone R; Pullano I; Fiore G; Iazzolino AM; Steardo L Jr; Sosto G
10.1016/j.pscychresns.2025.112115,Psilocybin,Bipolar depression,Deep learning based treatment remission prediction to transcranial direct current stimulation in bipolar depression using EEG power spectral density.,2026,Moncy JC; Xiao W; Woodham RD; Ghazi-Noori AR; Rezaei H; Bramon E; Ritter P; Bauer M; Young AH; Fan Y
10.4088/jcp.26m16338,Psilocybin,Suicidal ideation,Efficacy and Safety of a Single Dose of Psilocybin for Chronic Suicidal Ideation: An Open-Label Trial.,2026,van der Vaart A; LaPratt J; Swartz K; Shoultz A; Lauterbach M; Suppes T; Sackeim HA; Aaronson ST
10.1002/hsr2.72142,DMT,Headache disorders,Long-Term Clinical and Psychological Efficacy and Safety of Ocrelizumab in People With Multiple Sclerosis: A Real-World Longitudinal Study.,2026,Jafari M; Yazdan Panah M; Vaheb S; Adibi I; Ashtari F; Shaygannejad V; Zabeti A; Mirmosayyeb O
10.1016/j.jad.2025.120722,Ibogaine,Post-traumatic stress disorder,Mystical experiences during magnesium-Ibogaine are associated with improvements in PTSD symptoms in veterans.,2026,Brown RE; Lissemore JI; Shinozuka KF; Coetzee JP; Faerman A; Olash CA; Geoly AD; Buchanan DM; Cherian KN; Chaiken A
10.1093/pm/pnag008,DMT,Chronic pain,Pain outcomes in persons with multiple sclerosis receiving S1PR modulators: A cross-sectional study.,2026,Sierra S; Kratz AL; Braley TJ
10.1016/j.pnpbp.2026.111634,Ayahuasca,Chronic pain,Preliminary effects of ayahuasca on mental and physical health: A systematic review of prospective studies.,2026,Haupt MJ; Carra S; Boehnke KF; Aday JS
10.3390/ani16060900,DMT,Chronic pain,"Randomized and Blind Evaluation of the Efficacy of a Full-Spectrum Oral Cannabis sativa Oil Extract, Standardized Based on CBD-A, CBD and THC-A, THC in Canines with Chronic Osteoarthritis.",2026,Benjamin ET; Maria Teresa SE; Alexander NS; Stephanie SA; Martín SC; Sylvia AB
10.1001/jamanetworkopen.2026.12589,Psilocybin,Persistent depressive disorder,Short-Term and Late-Term Effects of Psilocybin on Symptoms in Major Depression: A Randomized Clinical Trial.,2026,Yngwe H; Plavén-Sigray P; Ekman CJ; Henje E; Berglund A; Tiger M; Beckman M; Lundberg J
10.1186/s40359-025-03917-0,DMT,Major depressive disorder,Study protocol for a randomised controlled trial of dance-movement therapy for adolescents with depression.,2026,Valjakka R; Pylvänäinen P; Lindgren M; Forsblom A; Marttunen M; Haravuori H
10.1017/s0033291725101827,Psilocybin,Bipolar depression,Domain-specific cognitive function in euthymic bipolar disorder: a systematic review and meta-analysis.,2025,Swidzinski S; Tsapekos D; Swidzinska P; Zhang W; Zheng M; Millgate E; Strawbridge R; Short R; Carter B; Gallagher P
10.1186/s12906-025-05107-2,DMT,Autism spectrum disorder,Effect of fundamental movement skills practice on executive function and social interaction ability in children with moderate autism: a randomized controlled trial.,2025,Wang Q; Jia S; Ding F; Wang X; Si Y; Wang X; Sun J
10.3389/fphar.2025.1599684,LSD,Headache disorders,Effects of intravenous propofol combined with opioids on euphoria in patients undergoing painless gastrointestinal endoscopy: protocol for a randomized double-blind placebo-controlled trial.,2025,Yu Y; Ma Q; Du F; Zhang X; Shao C; Li Y; Ma C
10.1001/jamanetworkopen.2024.61559,Psilocybin,Suicidal ideation,Suicide Risk Evaluations and Suicide in the Veterans Health Administration.,2025,Saulnier KG; Bagge CL; Ganoczy D; Bahraini NH; Jagusch J; Hosanagar A; Ilgen MA; Pfeiffer PN
10.1002/brb3.70823,Psilocybin,Cannabis use disorder,UK Medical Cannabis Registry: A Clinical Outcomes Analysis for Complex Regional Pain Syndrome.,2025,Evans L; Erridge S; Varadpande M; Aggarwal A; Cowley I; Clarke E; McLachlan K; Coomber R; Rucker JJ; Platt M
10.1111/add.16403,MDMA,Cannabis use disorder,An on-line school-based substance use harm reduction programme: The Illicit Project randomized controlled trial results.,2024,Debenham J; Birrell L; Champion KE; Newton N
10.1037/tra0001625,Ayahuasca,Post-traumatic stress disorder,Ayahuasca in the treatment of posttraumatic stress disorder: Mixed-methods case series evaluation in military combat veterans.,2024,Weiss B; Dinh-Williams LL; Beller N; Raugh IM; Strauss GP; Campbell WK
