# new DOI queue (mechanistic) generated at 2026-05-17T07:47:12.655781+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1111/dom.70136,DOM,TAAR1,An open-label study on ulotaront's effects on insulin-glucose regulation in schizophrenia patients with metabolic syndrome and prediabetes: Part I.,2026,Milanovic S; Lew R; Xiong K; Casavant E; Galluppi G; Chen YL; Lai Y; Chakravarthy M; Dehn C; Koblan K
10.1016/j.pnpbp.2026.111727,R-ketamine,NMDA receptor,Comparative network pharmacology analysis of ketamine and xanomeline in major depressive disorder: Shared and distinct molecular mechanisms.,2026,Ding X; Hashimoto K; Yang JJ
10.1038/s41380-025-03399-x,DOI,AMPA receptor,Downregulation of integrin α3 in ADHD mirrored in mutant mouse model by dopamine-dependent hippocampal AMPAR expression.,2026,Yao X; Chen R; Zhu J; Hou R; Xiang S; Jia T; Gu Y; Wang Z; Hu H; Chen H
10.1093/braincomms/fcaf499,DOI,AMPA receptor,Neurological diversity and generalizability: building on AMPA receptor imaging advances in long COVID.,2026,Rudroff T
10.1016/j.neuropharm.2025.110758,2C-I,SERT (SLC6A4),Repeated administration of the synthetic cannabinoid AKB48 induces serotonergic neuroadaptation in male and female mice: behavioural and immunohistochemical evidence.,2026,Corli G; De Luca F; Bilel S; Bassi M; Roda E; Gaudio RM; Fattore L; Locatelli CA; Marti M
10.1128/asmcr.00022-25,DOI,NMDA receptor,Anti-N-methyl-D-aspartate receptor encephalitis: a common autoimmune disease?,2025,Das S
10.3389/fpubh.2025.1737084,DOI,D2 receptor (DRD2),Correction: Targeting pro-dopaminergic agonism to attenuate depression in patients displaying genetic/epigenetic predisposition to hypodopaminergia.,2025,Lewandrowski KU; Blum K; Lewandrowski APL; Thanos PK; Pinhasov A; Sharafshah A; Baron D; Gold MS; Dennen CA; Elman I
10.1111/bph.17315,DOI,5-HT2B,Deficiency of 5-HT(2B) receptors alleviates atherosclerosis by regulating macrophage phenotype through inhibiting interferon signalling.,2025,Liu Y; Wang Z; Fang L; Xu Y; Zhao B; Kang X; Zhao Y; Han J; Zhang Y; Dong E
10.1016/j.isci.2025.112152,DOI,AMPA receptor,Erratum: Sustained postsynaptic kainate receptor activation downregulates AMPA receptor surface expression and induces hippocampal LTD.,2025,Nair JD; Braksator E; Yucel BP; Fletcher-Jones A; Seager R; Mellor JR; Bashir ZI; Wilkinson KA; Henley JM
10.1111/bph.16368,DOI,5-HT2A,Ligand bias and inverse agonism on 5-HT(2A) receptor-mediated modulation of G protein activity in post-mortem human brain.,2025,Muneta-Arrate I; Miranda-Azpiazu P; Horrillo I; Diez-Alarcia R; Meana JJ
