line_no,doi,compound,entity,title,year,authors,existing_sources
7,10.1038/s41586-025-10061-7,DOI,5-HT2A,Psychedelics elicit their effects by 5-HT(2A) receptor-mediated G(i) signalling.,2026,Xu Z; Wang H; Yu J; Deng Y; Tian X; Ni R; Xia F; Yang L; Xu C; Zhang L,candidate_paper_corpus | mechanistic:paper_library
9,10.1038/s41386-025-02313-x,DOI,5-HT2A,"Stereoselective, sex-dependent 5-HT(2A) receptor modulation of cortical plasticity by MDMA in mice.",2026,Gaines-Smith MC; Silverman JM; Fiorillo M; Younkin J; Moore KN; Maltman JL; de la Fuente Revenga M; Wolstenholme JT; Glennon RA; Dukat M,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
10,10.1038/s41380-025-03325-1,DOM,5-HT2A,"The 4-alkyl chain length of 2,5-dimethoxyamphetamines differentially affects in vitro serotonin receptor actions versus in vivo psychedelic-like effects.",2026,Luethi D; Glatfelter GC; Pottie E; Sellitti F; Maitland AD; Gonzalez NR; Kryszak LA; Jackson SN; Hoener MC; Stove CP,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
11,10.1016/j.ejphar.2025.178170,DOM,5-HT2A,"2,5-Dimethoxy-4-methylamphetamine (DOM)-induced gait alterations in mice: Dissecting the role of 5-HT(2A/2C) receptor-mediated mechanisms.",2025,Li B; Jiang S; Yao Y; Yu G; Su R,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
13,10.1111/bph.70138,DOI,5-HT2A,Are we hallucinating or can psychedelic drugs modulate the immune system to control inflammation?,2025,Qureshi O; Cowley J; Pegg A; Cooper AJ; Gordon J; Brady CA; Belli A; Butterworth S; Upthegrove R; Andrews N,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
14,10.1007/s43440-024-00679-1,DOI,5-HT2A,Assessing the effects of 5-HT(2A) and 5-HT(5A) receptor antagonists on DOI-induced head-twitch response in male rats using marker-less deep learning algorithms.,2025,Cyrano E; Popik P,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library | mechanistic:stubs
16,10.1002/hup.70019,R-ketamine,Sigma-1 receptor (SIGMAR1),Could R-Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma-1 Receptor-Based Perspective.,2025,Kalkman HO; Smigielski L,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
18,10.1021/acschemneuro.5c00468,DOI,SERT (SLC6A4),Dual Modulation of 5-HT(2A) Receptors and SERT by α-Ethyltryptamine and Its Optical Isomers.,2025,Silverman JM; Fiorillo M; Younkin J; Jones CB; Maltman JL; Herszenhorn I; Artigas A; Wolstenholme JT; Dukat M; González-Maeso J,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
19,10.1038/s41386-025-02129-9,R-ketamine,NMDA receptor,"Effects of NMDA receptor antagonists on working memory and gamma oscillations, and the mediating role of the GluN2D subunit.",2025,Vinnakota C; Hudson MR; Ikeda K; Ide S; Mishina M; Sundram S; Jones NC; Hill RA,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
21,10.1111/bph.70109,DOI,5-HT2A,Evidence that 5-HT(2A) receptor signalling efficacy and not biased agonism differentiates serotonergic psychedelic from non-psychedelic drugs.,2025,Ippolito A; Vasudevan S; Hurley S; Gilmour G; Westhorpe F; Churchill G; Sharp T,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
22,10.1002/14651858.cd015373.pub2,DOI,NMDA receptor,Ketamine and other NMDA receptor antagonists for chronic pain.,2025,Ferraro MC; Cashin AG; Visser EJ; Abdel Shaheed C; Wewege MA; Wand BM; Gustin SM; O'Connell NE; McAuley JH,candidate_paper_corpus | disorder:exploratory | disorder:paper_library | disorder:stubs
23,10.1016/j.jare.2025.11.034,DOI,5-HT2A,Lactoferrin alleviates non-alcoholic steatohepatitis via remodeling gut microbiota to regulate serotonin-related pathways.,2025,Ding L; Xu JY; Zhang LL; Liu Y; Gu KT; Liang YZ; Hidayat K; Wan Z; Chen GC; Qin LQ,candidate_paper_corpus | mechanistic:paper_library
25,10.1016/j.dmd.2025.100086,2C-B,5-HT2A,"Liquid chromatography-tandem mass spectrometry-based pharmacokinetic and metabolic analysis of 4-bromo-2,5-dimethoxyphenethylamine and its metabolites in human plasma.",2025,Thomann J; Rudin D; Kraus S; Arikci D; Holze F; Liechti ME; Luethi D,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
26,10.1021/acs.est.4c09276,DOI,5-HT2A,Long-Term Exposure to Tire-Derived 6-PPD Quinone Causes Neurotoxicity and Neuroinflammation via Inhibition of HTR2A in C57BL/6 Mice.,2025,Ma CS; Liu YX; Han B; Bai M; Li DL; Meng SC; Zhang LY; Duan MY; He MT,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
