# discovered queue (mechanistic) generated at 2026-05-17T07:47:10.563479+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1111/dom.70136,DOM,TAAR1,An open-label study on ulotaront's effects on insulin-glucose regulation in schizophrenia patients with metabolic syndrome and prediabetes: Part I.,2026,Milanovic S; Lew R; Xiong K; Casavant E; Galluppi G; Chen YL; Lai Y; Chakravarthy M; Dehn C; Koblan K
10.1016/j.pnpbp.2026.111727,R-ketamine,NMDA receptor,Comparative network pharmacology analysis of ketamine and xanomeline in major depressive disorder: Shared and distinct molecular mechanisms.,2026,Ding X; Hashimoto K; Yang JJ
10.1038/s41380-025-03399-x,DOI,AMPA receptor,Downregulation of integrin α3 in ADHD mirrored in mutant mouse model by dopamine-dependent hippocampal AMPAR expression.,2026,Yao X; Chen R; Zhu J; Hou R; Xiang S; Jia T; Gu Y; Wang Z; Hu H; Chen H
10.1093/braincomms/fcaf499,DOI,AMPA receptor,Neurological diversity and generalizability: building on AMPA receptor imaging advances in long COVID.,2026,Rudroff T
10.1038/s41586-025-10061-7,DOI,5-HT2A,Psychedelics elicit their effects by 5-HT(2A) receptor-mediated G(i) signalling.,2026,Xu Z; Wang H; Yu J; Deng Y; Tian X; Ni R; Xia F; Yang L; Xu C; Zhang L
10.1016/j.neuropharm.2025.110758,2C-I,SERT (SLC6A4),Repeated administration of the synthetic cannabinoid AKB48 induces serotonergic neuroadaptation in male and female mice: behavioural and immunohistochemical evidence.,2026,Corli G; De Luca F; Bilel S; Bassi M; Roda E; Gaudio RM; Fattore L; Locatelli CA; Marti M
10.1038/s41386-025-02313-x,DOI,5-HT2A,"Stereoselective, sex-dependent 5-HT(2A) receptor modulation of cortical plasticity by MDMA in mice.",2026,Gaines-Smith MC; Silverman JM; Fiorillo M; Younkin J; Moore KN; Maltman JL; de la Fuente Revenga M; Wolstenholme JT; Glennon RA; Dukat M
10.1038/s41380-025-03325-1,DOM,5-HT2A,"The 4-alkyl chain length of 2,5-dimethoxyamphetamines differentially affects in vitro serotonin receptor actions versus in vivo psychedelic-like effects.",2026,Luethi D; Glatfelter GC; Pottie E; Sellitti F; Maitland AD; Gonzalez NR; Kryszak LA; Jackson SN; Hoener MC; Stove CP
10.1016/j.ejphar.2025.178170,DOM,5-HT2A,"2,5-Dimethoxy-4-methylamphetamine (DOM)-induced gait alterations in mice: Dissecting the role of 5-HT(2A/2C) receptor-mediated mechanisms.",2025,Li B; Jiang S; Yao Y; Yu G; Su R
10.1128/asmcr.00022-25,DOI,NMDA receptor,Anti-N-methyl-D-aspartate receptor encephalitis: a common autoimmune disease?,2025,Das S
