pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-00659cf85d2a1d78,disorder,full_text_relevant,10.1192/j.eurpsy.2025.1046,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Real clinical experience of inhaled esketamine in bipolar depression. A retrospective study,2025,S. Benavente López; A. Lara Fernández; E. Toro Carrasco; I. Pedrero Torrejon; A. Parra González; M. Mejia Quiterio; A. Viñas Arboleda; E. Losantos Ucha; E. Baca García,European Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-00037dac0d7c7eac,disorder,full_text_relevant,10.1556/2054.2021.00179,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,Ketamine-assisted psychotherapy for trauma-exposed patients in an outpatient setting: A clinical chart review study,2021,Alan K. Davis; Pratheek Mangini; Yitong Xin,Journal of Psychedelic Studies,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-002c5e8fbd304697,disorder,full_text_relevant,10.3389/fphar.2021.659644,full_text,full_text_seen,relevant,likely_context_only,medium,title_context,Protocol for Outcome Evaluation of Ayahuasca-Assisted Addiction Treatment: The Case of Takiwasi Center,2021,Brian Rush; Olivia Marcus; Sara García; Anja Loizaga-Velder; Gabriel Loewinger; Ariane Spitalier; Fernando Mendive,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0009d548736c869c,disorder,full_text_relevant,10.3389/fphar.2021.739012,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ibogaine Blocks Cue- and Drug-Induced Reinstatement of Conditioned Place Preference to Ethanol in Male Mice,2021,Gabrielle M. Henriques; Alexia Anjos-Santos; Isa R. S. Rodrigues; Victor Nascimento-Rocha; Henrique S. Reis; Matheus Libarino-Santos; Thaísa Barros-Santos; Thais S. Yokoyama; Natalia B. Bertagna; Cristiane A. Favoretto,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-000d5083c693c53b,disorder,full_text_relevant,10.59324/ejahss.2024.1(3).10,full_text,full_text_seen,relevant,ambiguous,medium,abstract_secondary | abstract_primary,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,2024,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,"European Journal of Arts, Humanities and Social Sciences",journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-007823959dd5d06c,mechanistic,full_text_relevant,10.1002/phar.2707,full_text,full_text_seen,relevant,likely_secondary,high,publication_type_secondary | title_secondary,Safety and effectiveness of NMDA receptor antagonists for depression: A multidisciplinary review.,2022,Moore TJ; Alami A; Alexander GC; Mattison DR,Pharmacotherapy,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0019f662940b3b65,mechanistic,full_text_relevant,10.1111/papr.13203,full_text,full_text_seen,relevant,likely_primary,high,title_secondary | trial_registry_present,Are psychedelics the answer to chronic pain: A review of current literature,2023,Nina I. Kooijman; Tim Willegers; Anke Reuser; Wim M. Mulleners; Cornelis Kramers; Kris C. P. Vissers; Selina E. I. van der Wal,Pain Practice,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-01425de63d1b6929,mechanistic,full_text_relevant,10.21203/rs.3.rs-2667175/v1,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,2023,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,Research Square,posted-content,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-01213753d31b9bf3,mechanistic,full_text_relevant,10.3389/fnagi.2025.1505908,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine does not rescue plaque load or gap detection in the 5XFAD mouse model of Alzheimer's disease,2025,Alexa L. Wright; Aldis P. Weible; Olivia B. Estes; Michael Wehr,Frontiers in Aging Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0088c7841c8e16a1,mechanistic,full_text_relevant,10.3389/fphar.2021.794254,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",2022,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-00ac3901bfcfab43,disorder,full_text_uncertain,10.1016/j.phrs.2024.107338,full_text,full_text_seen,uncertain,likely_secondary,low,abstract_secondary,Mind over matter: the microbial mindscapes of psychedelics and the gut-brain axis,2024,Giorgia Caspani; Simon G.D. Ruffell; WaiFung Tsang; Nigel Netzband; Cyrus Rohani-Shukla; Jonathan R. Swann; Wilfred A. Jefferies,Pharmacological Research,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
